eval_eplenmean,eval_qs_difference,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval mean 100 episode reward,eval_abs_qs_difference,total timesteps,act_time,ep_rewmean,n_updates,qs_difference,train_time,eplenmean,fps,mean 100 episode reward,qs_abs_difference,current_lr,env_time,episodes,discount_q,qs_mean,time_elapsed,update_time,qfs_loss,q_grad_norm
,,,,,,,,88000,57,35.27260984090909,126200,3.3000308248391304,1382,1000.0,23,35.3,3.3000308248391304,0.0003,126,88,2.4122734843907838e-12,12.198753,3777,1964,0.018935282,1.4651893
1000.0,1.8613243433176343,112.32923300000002,23,9.96532,31.60533159437441,42.6,1.9668957,90001,,,,,,,,,,,,,,,,,,
,,,,,,,,92000,61,38.9578725,134200,1.117106651607064,1473,1000.0,22,39.0,1.123632804334252,0.0003,131,92,2.412080234999484e-12,10.568147,4081,2144,0.019201038,1.7437603
,,,,,,,,96000,64,42.92593094791667,142200,1.2020130135707925,1560,1000.0,21,42.9,1.2255900662858137,0.0003,137,96,2.56090615385735e-12,11.829277,4367,2331,0.017123932,1.4030411
,,,,,,,,100000,67,46.816093980000005,150200,2.4316370510280887,1648,1000.0,21,46.8,2.43313680209549,0.0003,143,100,2.4956660636984055e-12,13.181399,4659,2525,0.015080511,1.30676
1000.0,1.7437533208188862,140.75018736363634,23,12.642606,32.082478071913414,56.5,1.8956004,100001,,,,,,,,,,,,,,,,,,
,,,,,,,,104000,71,51.94827501,158200,2.7138202155166593,1735,1000.0,20,51.9,2.7138202155166593,0.0003,149,104,2.466333252857978e-12,13.574109,4977,2720,0.012636317,1.1690971
,,,,,,,,108000,74,57.327155440000006,166200,2.384402356668889,1823,1000.0,20,57.3,2.384402356668889,0.0003,155,108,2.5789066627462652e-12,13.882718,5277,2921,0.011484704,1.0307251
1000.0,1.9560323631172354,154.93585990909094,24,14.229162,32.52985654744799,72.3,2.1455038,110001,,,,,,,,,,,,,,,,,,
,,,,,,,,112000,78,63.24811541,174200,2.504665749545637,1913,1000.0,20,63.2,2.504665749545637,0.0003,160,112,2.6796184957926777e-12,14.302603,5595,3114,0.011555447,1.1380374
,,,,,,,,116000,81,69.67768147000001,182200,2.7901550883377304,2000,1000.0,19,69.7,2.7901550883377304,0.0003,166,116,2.703989716989174e-12,14.594231,5882,3303,0.010437002,1.1857387
,,,,,,,,120000,84,75.51633788,190200,2.4877416303353783,2087,1000.0,19,75.5,2.487752979455837,0.0003,171,120,2.6878569814335423e-12,14.700778,6174,3498,0.008025628,0.90191925
1000.0,2.1181456846405537,159.26273981818179,22,14.853769,32.228784408311306,87.5,2.26384,120001,,,,,,,,,,,,,,,,,,
,,,,,,,,124000,87,81.30563376,198200,2.637011390528815,2176,1000.0,19,81.3,2.637011390528815,0.0003,177,124,2.4944761593981243e-12,14.903448,6495,3695,0.007949952,0.9729369
,,,,,,,,128000,91,86.15375318000001,206200,2.646142125160156,2263,1000.0,18,86.2,2.646142125160156,0.0003,183,128,2.6068912830103306e-12,14.975174,6791,3894,0.0068895305,0.81843793
1000.0,2.952867533094029,144.6431499090909,23,14.16046,32.89619275384965,99.4,3.00375,130001,,,,,,,,,,,,,,,,,,
,,,,,,,,132000,94,90.93138218000001,214200,3.1038646712803373,2352,1000.0,18,90.9,3.1038646712803373,0.0003,189,132,2.570635471490303e-12,14.850156,7111,4091,0.0056872205,0.7648057
,,,,,,,,136000,97,95.61734932000002,222200,2.5790186224802185,2440,1000.0,18,95.6,2.5790186224802185,0.0003,194,136,2.591882049351179e-12,14.964522,7409,4291,0.0052484884,0.7218437
,,,,,,,,140000,101,100.09075028,230200,3.3305608378695974,2530,1000.0,18,100.1,3.3305608378695974,0.0003,200,140,2.6651154372322068e-12,14.821975,7714,4494,0.0060104784,0.92265093
1000.0,2.2747826447760677,159.40132918181817,23,14.940658,33.07331085481085,112.2,2.348337,140001,,,,,,,,,,,,,,,,,,
,,,,,,,,144000,104,104.47294534000001,238200,2.601434237755826,2620,1000.0,17,104.5,2.601434237755826,0.0003,206,144,2.6640585699984595e-12,14.959097,8023,4679,0.005738523,0.8198384
,,,,,,,,148000,107,108.97631242000001,246200,2.591481737454333,2707,1000.0,17,109.0,2.591481737454333,0.0003,211,148,2.547055043130889e-12,14.759729,8313,4871,0.0055792094,0.849036
1000.0,2.5807455047938332,145.02441363636365,22,13.819968,32.96179325520647,125.1,2.6441674,150001,,,,,,,,,,,,,,,,,,
,,,,,,,,152000,111,113.31326012,254200,3.2208936294057495,2800,1000.0,17,113.3,3.2208936294057495,0.0003,217,152,2.5861366097665205e-12,14.601105,8628,5061,0.0048142727,0.7244471
,,,,,,,,156000,114,117.55627894000001,262200,3.064873561308292,2887,1000.0,17,117.6,3.064873561308292,0.0003,223,156,2.6537638274426058e-12,14.580998,8921,5255,0.005878546,0.83464503
,,,,,,,,160000,117,121.65951514,270200,2.832595836111587,2975,1000.0,17,121.7,2.832595836111587,0.0003,229,160,2.5948671263345143e-12,14.782689,9215,5451,0.0039638863,0.7147052
1000.0,3.6841477478000297,137.7408338181818,23,14.275483,32.14896436874992,133.8,3.7217941,160001,,,,,,,,,,,,,,,,,,
,,,,,,,,164000,121,126.16057758,278200,2.682655817978053,3063,1000.0,17,126.2,2.682655817978053,0.0003,234,164,2.4862072098488156e-12,14.688984,9539,5651,0.0038394453,0.7214039
,,,,,,,,168000,124,130.02378884,286200,2.9976343661278912,3153,1000.0,17,130.0,2.9976343661278912,0.0003,240,168,2.5221047670145505e-12,14.753338,9843,5854,0.0036841205,0.7338369
1000.0,4.646919452964286,81.65988909090908,23,10.345432,24.92400422979048,136.5,4.8523593,170001,,,,,,,,,,,,,,,,,,
,,,,,,,,172000,128,131.51276851,294200,3.8190105885890517,3243,1000.0,16,131.5,3.8190105885890517,0.0003,246,172,2.022837128648844e-12,15.043074,10166,6053,0.006768007,0.8175978
,,,,,,,,176000,131,134.29410194,302200,18.153729422491516,3329,1000.0,16,134.3,18.153729422491516,0.0003,252,176,1.4754772760208234e-12,21.293583,10461,6249,0.009991424,0.8442868
,,,,,,,,180000,134,133.14718082000002,310200,16.128837844232045,3419,1000.0,16,133.1,16.128837844232045,0.0003,257,180,1.9019554163810538e-12,16.590769,10762,6450,0.006084889,0.8003428
1000.0,12.728826377337121,40.718123,24,14.242135,25.843487586658252,129.9,12.728825,180001,,,,,,,,,,,,,,,,,,
,,,,,,,,184000,138,133.55806971,318200,3.030479163441532,3510,1000.0,16,133.6,3.030479163441532,0.0003,263,184,2.8155077861781673e-12,14.082006,11090,6652,0.005645825,0.7307922
,,,,,,,,188000,141,133.21259807,326200,8.26023854210823,3600,1000.0,16,133.2,8.26023854210823,0.0003,269,188,2.108640267950336e-12,10.086758,11393,6853,0.0037878633,0.57514936
1000.0,2.612053383237658,150.61946118181822,24,14.404795,33.022262028919755,130.5,2.6506393,190001,,,,,,,,,,,,,,,,,,
,,,,,,,,192000,144,133.20563044,334200,3.5885263165709365,3688,1000.0,16,133.2,3.5885263165709365,0.0003,275,192,2.307301682266429e-12,14.3221,11712,7050,0.0048725815,0.6803962
,,,,,,,,196000,148,133.5272267,342200,3.1152312836405702,3777,1000.0,16,133.5,3.1152312836405702,0.0003,281,196,2.609714601662901e-12,14.163231,12015,7252,0.0053158174,0.73499435
,,,,,,,,200000,151,133.71840249000002,350200,2.928715981840381,3865,1000.0,16,133.7,2.928715981840381,0.0003,287,200,2.6489505696999306e-12,14.437341,12310,7447,0.0056468244,0.6999705
1000.0,2.512947742528325,151.89297963636363,23,14.433791,33.014694184487205,130.4,2.5609605,200001,,,,,,,,,,,,,,,,,,
,,,,,,,,204000,155,134.71943735000002,358200,2.9249565664329977,3953,1000.0,16,134.7,2.9249565664329977,0.0003,293,204,2.7607093842751147e-12,13.86675,12631,7645,0.0047541526,0.6312889
,,,,,,,,208000,158,134.68167142,366200,2.8239257859231377,4041,1000.0,16,134.7,2.8239257859231377,0.0003,298,208,2.5240724134321533e-12,14.154428,12929,7844,0.0044761063,0.63337266
1000.0,2.5325935654014664,154.48561718181818,24,14.681457,33.3302969212935,130.0,2.567374,210001,,,,,,,,,,,,,,,,,,
,,,,,,,,212000,162,134.56441085000003,374200,2.8132531003795567,4129,1000.0,16,134.6,2.8132531003795567,0.0003,304,212,2.3351496775620268e-12,14.575236,13249,8041,0.0037617257,0.5538
,,,,,,,,216000,165,134.34098434999999,382200,2.7718574905124744,4217,1000.0,15,134.3,2.7718574905124744,0.0003,310,216,2.5310329533526665e-12,14.3226795,13548,8240,0.0040246383,0.51372844
,,,,,,,,220000,169,134.15275229,390200,3.1472864354426036,4305,1000.0,15,134.2,3.1472864354426036,0.0003,316,220,2.5738663428702913e-12,14.252376,13845,8438,0.0033064494,0.5206941
1000.0,2.9362174939026975,144.5533,23,14.147735,32.76579943673331,129.8,2.9634683,220001,,,,,,,,,,,,,,,,,,
,,,,,,,,224000,172,133.90588438999998,398200,3.9873169907076744,4396,1000.0,15,133.9,3.9873169907076744,0.0003,322,224,2.5919397723621306e-12,14.282454,14174,8641,0.003314049,0.52683514
,,,,,,,,228000,175,133.69187682,406200,2.7901984208926187,4482,1000.0,15,133.7,2.7901984208926187,0.0003,328,228,2.6740793283044745e-12,14.369444,14468,8838,0.003520111,0.49806988
1000.0,2.691259196141823,147.28947927272728,23,14.160687,32.924448963891834,128.6,2.7102475,230001,,,,,,,,,,,,,,,,,,
,,,,,,,,232000,179,133.33195871,414200,3.4476167505201203,4573,1000.0,15,133.3,3.4476167505201203,0.0003,333,232,2.4886938974756897e-12,14.355297,14796,9039,0.0029512495,0.43258518
,,,,,,,,236000,182,133.00084839000002,422200,2.8895563915146933,4659,1000.0,15,133.0,2.8895563915146933,0.0003,339,236,2.5650886063342227e-12,14.361789,15090,9237,0.0040180553,0.5303415
,,,,,,,,240000,185,132.77000956,430200,3.028812108088132,4747,1000.0,15,132.8,3.028812108088132,0.0003,345,240,2.6074363649231904e-12,14.272437,15389,9436,0.0030892876,0.45905563
1000.0,2.7379094697619633,147.4935548181818,23,14.199737,33.20735805420931,127.8,2.7633717,240001,,,,,,,,,,,,,,,,,,
,,,,,,,,244000,189,132.21735665,438200,3.5796567832716453,4838,1000.0,15,132.2,3.5796567832716453,0.0003,351,244,2.557913265439538e-12,14.4019375,15715,9637,0.003074085,0.5117908
