eval_discount_q,eval_qs,eval_eplenmean,eval_time_elapsed,eval_ep_rewmean,eval_qs_difference,total timesteps,eval mean 100 episode reward,eval_abs_qs_difference,n_updates,train_time,discount_q,current_lr,qs_mean,qs_difference,time_elapsed,mean 100 episode reward,fps,episodes,eplenmean,env_time,update_time,act_time,ep_rewmean,qs_abs_difference,q_grad_norm,qfs_loss
,,,,,,100000,,,150200,1671,2.5126757203685545e-12,0.0003,12.203436,0.734030154970681,4585,46.2,21,100,1000.0,143,2421,67,46.18171141,0.8277476363303856,1.6291903,0.015817113
30.859697313484194,9.242034,1000.0,24,101.59820372727273,2.137323053107192,100001,61.7,2.1908443,,,,,,,,,,,,,,,,,,
,,,,,,104000,,,158200,1759,2.7020876991966737e-12,0.0003,13.495906,1.4194757865792327,4895,52.0,21,104,1000.0,149,2608,70,51.95678847000001,1.4289920944181391,1.5205804,0.01335037
,,,,,,108000,,,166200,1847,2.548691991658648e-12,0.0003,13.84927,1.4999509386352994,5187,57.6,20,108,1000.0,154,2802,74,57.639363380000006,1.5008786315803746,1.4684393,0.012752343
32.57185944739337,13.229267,1000.0,23,149.52942054545454,1.500938404257422,110001,74.9,2.0019145,,,,,,,,,,,,,,,,,,
,,,,,,112000,,,174200,1935,2.5782540362595867e-12,0.0003,13.588549,2.0849462367231757,5498,63.8,20,112,1000.0,160,2990,77,63.77533302,2.0854326657802686,1.1500593,0.009224234
,,,,,,116000,,,182200,2026,2.6299546588276137e-12,0.0003,14.002825,1.6190052058874294,5797,69.3,20,116,1000.0,166,3188,80,69.34710162,1.6199765078146042,1.1544724,0.008753196
,,,,,,120000,,,190200,2117,2.5341499767513595e-12,0.0003,13.66333,1.8102681702015242,6090,75.2,19,120,1000.0,172,3378,84,75.16485791,1.8211394751760797,1.07645,0.00821273
32.821494881536246,12.387928,1000.0,24,144.7483389090909,1.162421721464227,120001,87.7,1.5945972,,,,,,,,,,,,,,,,,,
,,,,,,124000,,,198200,2205,2.5993905988951895e-12,0.0003,13.111752,1.675520925700704,6405,81.4,19,124,1000.0,177,3570,87,81.42596386999999,1.6757597727906537,1.1752944,0.0088404585
,,,,,,128000,,,206200,2296,2.5394522406706343e-12,0.0003,13.807516,2.034518910968894,6692,86.5,19,128,1000.0,183,3756,91,86.45587858,2.03990407180057,1.2128386,0.007952399
33.125683946393174,13.55325,1000.0,23,146.29265636363635,2.2034270304860617,130001,99.4,2.513367,,,,,,,,,,,,,,,,,,
,,,,,,132000,,,214200,2384,2.543711265951066e-12,0.0003,13.719463,1.6829752116969174,7004,91.2,18,132,1000.0,189,3944,94,91.21376178,1.683050839840236,0.9897546,0.006795021
,,,,,,136000,,,222200,2476,2.5440105269577132e-12,0.0003,14.008468,1.9190590188061756,7290,95.7,18,136,1000.0,194,4128,97,95.65887226000001,1.9190590188061756,0.89484024,0.005901016
,,,,,,140000,,,230200,2567,2.6597039356975366e-12,0.0003,13.84991,1.947343722162965,7588,100.3,18,140,1000.0,200,4323,101,100.32432921000002,1.947343722162965,1.061937,0.0061230464
32.96747994977689,13.552292,1000.0,24,153.2057230909091,1.495500686114576,140001,112.3,1.7083924,,,,,,,,,,,,,,,,,,
,,,,,,144000,,,238200,2652,2.582548344173832e-12,0.0003,14.156452,1.7788407343354269,7896,104.9,18,144,1000.0,205,4512,104,104.87310895,1.7788407343354269,0.7907505,0.0048812507
,,,,,,148000,,,246200,2741,2.6806709736720442e-12,0.0003,14.098352,2.396391946472307,8183,109.1,18,148,1000.0,211,4699,107,109.14247076,2.396963937795281,0.8812218,0.0056736046
32.744708524830116,14.313711,1000.0,24,156.80084981818183,1.8753513756174207,150001,124.1,2.070099,,,,,,,,,,,,,,,,,,
,,,,,,152000,,,254200,2829,2.7486219205724624e-12,0.0003,14.017758,1.9880334762676612,8499,112.7,17,152,1000.0,217,4891,111,112.66849082,1.9893751362530177,0.789151,0.0045149536
,,,,,,156000,,,262200,2919,2.6650468945819566e-12,0.0003,14.146186,1.8830735125373759,8794,115.9,17,156,1000.0,223,5085,114,115.88553957,1.8830735125373759,0.85261863,0.0049630087
,,,,,,160000,,,270200,3010,2.6169738384966615e-12,0.0003,14.525449,1.9770545478384676,9084,120.0,17,160,1000.0,228,5273,118,120.04375469,1.9770545478384676,0.9761059,0.005276601
32.66851327145576,13.519021,1000.0,24,145.34960545454544,2.218243905691816,160001,134.6,2.3974218,,,,,,,,,,,,,,,,,,
,,,,,,164000,,,278200,3098,2.4654544325425308e-12,0.0003,14.465775,2.088776488348244,9397,124.4,17,164,1000.0,234,5463,121,124.40352175,2.0887862901388243,0.880879,0.0048091426
,,,,,,168000,,,286200,3185,2.69638717041605e-12,0.0003,14.440952,2.1857369055415528,9687,128.7,17,168,1000.0,240,5653,124,128.65562129,2.1857369055415528,0.7046553,0.0040683057
33.34884524507264,14.148596,1000.0,24,156.34346845454544,1.8157850845912449,170001,140.1,1.9829186,,,,,,,,,,,,,,,,,,
,,,,,,172000,,,294200,3273,2.605337716451289e-12,0.0003,14.624353,2.1645496246917717,10000,132.9,17,172,1000.0,245,5844,128,132.93380729999998,2.1645496246917717,0.75678575,0.0040214374
