#{"t_start": 1651708687.254038, "env_id": "Hopper-v3"}
r,l,t
12.309379,15,6.239244
16.148934,25,6.296498
34.233181,37,6.351969
16.902257,25,6.736964
22.66121,28,6.787185
9.167253,14,6.821617
11.437748,17,6.860083
11.037969,32,6.934613
6.52315,9,6.978976
10.659237,17,7.019814
16.057246,18,7.052916
38.220143,45,7.124666
21.666291,28,7.21843
112.519282,68,7.318052
13.655028,14,7.360326
5.312008,10,7.422034
13.790543,16,7.455176
15.60151,22,7.485996
12.954831,14,7.512022
16.422138,18,7.538737
8.157928,14,7.5642
10.829485,14,7.582507
19.969162,21,7.68765
7.721406,12,7.723283
30.686489,43,7.787873
38.511239,59,7.964366
12.93018,17,7.997707
9.786078,13,8.028314
12.775141,34,8.079726
15.329102,17,8.230415
47.092093,57,8.329649
11.983735,16,8.367631
7.933859,14,8.479897
6.73675,9,8.502863
8.073159,11,8.521747
13.673712,24,8.559754
11.499826,13,8.584882
26.221137,43,8.752526
13.662837,18,8.803378
7.943631,10,8.819533
13.308206,18,8.847306
17.70436,31,8.899165
15.786998,16,8.932628
17.258768,23,9.101005
9.10634,11,9.124219
45.451986,39,9.165353
22.197244,20,9.211817
9.719457,15,9.409913
38.619061,42,9.48458
22.211472,22,9.525457
31.335572,25,9.564705
18.35802,16,9.735429
12.811799,16,9.765059
23.048106,25,9.80098
9.766362,20,9.850268
16.375368,17,9.886316
4.61236,10,9.90991
21.846973,26,10.106528
23.810229,27,10.16875
14.206591,21,10.207048
20.788131,34,10.437153
10.812529,16,10.471416
12.064048,17,10.503706
42.881558,36,10.552675
11.537727,21,10.582222
6.585474,15,10.795585
104.724036,59,10.874382
30.31283,30,10.925257
6.535072,10,11.121607
9.848447,13,11.138937
17.00532,21,11.166055
18.005233,22,11.205311
40.291619,30,11.257907
5.214016,8,11.484859
11.752001,16,11.510733
7.135367,13,11.535193
11.054173,15,11.562411
69.196427,45,11.621263
14.30372,23,11.896291
32.104904,28,11.945366
15.599214,24,11.995514
9.781214,14,12.02425
29.939895,38,12.311001
13.456777,19,12.35004
5.85743,9,12.366962
8.127649,18,12.393129
34.97873,36,12.710997
11.815615,15,12.747204
12.126042,16,12.789443
19.320631,23,12.83516
23.939712,35,12.889988
21.820502,22,13.220047
14.418323,15,13.248888
29.202738,37,13.297095
17.619858,21,13.336464
9.143352,11,13.366023
23.058157,26,13.712853
13.017414,22,13.743717
15.629225,18,13.770954
8.371856,12,13.79423
11.11408,25,13.833842
18.170484,20,14.152598
23.230041,22,14.189739
14.566203,15,14.232253
19.478552,24,14.274318
7.671895,17,14.304792
8.364166,12,14.608477
8.706028,15,14.628014
14.146484,19,14.66788
10.205766,19,14.72302
9.772782,21,14.761101
42.595561,60,15.180804
8.538865,14,15.209615
7.503932,11,15.224288
15.837839,17,15.247479
20.179817,33,15.620921
15.976162,28,15.671044
30.594201,30,15.714264
5.271063,13,15.755445
19.173714,20,16.153532
9.41688,13,16.18016
16.466021,22,16.205341
25.174738,22,16.231863
9.804638,16,16.266384
40.447364,40,16.702536
18.905493,19,16.730632
12.035606,14,16.749926
12.390975,15,16.770188
12.647434,15,16.812406
15.525038,19,17.202526
13.123751,15,17.232076
33.804827,29,17.279685
11.644989,15,17.311032
10.668594,25,17.363343
43.532207,45,17.822385
10.332024,13,17.854719
11.615953,15,17.87509
7.386923,10,17.890013
11.778915,15,17.921734
25.04207,31,18.369089
16.459833,36,18.453468
16.403642,21,18.495131
8.724026,14,18.520017
11.935372,32,18.987046
12.390658,24,19.037769
35.049454,32,19.097137
18.183207,21,19.147803
80.477004,48,19.615175
20.873326,20,19.656941
9.254834,14,19.678554
13.298219,25,20.148854
9.030294,12,20.1734
5.934394,10,20.192896
21.561639,30,20.237
62.930054,54,20.746141
11.909921,20,20.7822
9.186677,12,20.805912
7.231915,10,20.827445
49.224071,37,20.889641
10.451696,12,21.357874
14.155015,15,21.389478
20.930662,33,21.4424
8.305855,34,21.499128
17.305267,20,22.047909
30.099783,27,22.093903
8.687576,13,22.119765
18.193352,22,22.15532
16.158844,23,22.183855
7.530754,13,22.69035
43.12513,33,22.743767
14.82324,18,22.797566
8.757975,12,22.826907
30.236766,28,22.879436
6.672675,10,23.390921
10.438037,13,23.415826
15.161736,25,23.460292
9.635679,12,23.486952
24.392188,23,23.527318
7.93993,15,23.563107
50.141354,40,24.169873
10.960397,21,24.210247
10.500058,14,24.234092
14.959442,16,24.259928
7.765453,14,24.283891
11.491216,22,24.83426
11.10359,13,24.877413
7.438323,12,24.897853
17.429718,29,24.939958
15.017026,17,24.976025
12.497419,18,25.541253
20.913612,23,25.596562
29.920306,24,25.639776
15.699652,18,25.6755
19.442049,21,25.709502
15.46338,18,26.280882
16.00089,23,26.309107
12.707384,18,26.334839
14.046981,18,26.358874
14.118067,16,26.379405
12.701232,16,26.959176
14.439211,25,27.018955
18.664209,18,27.060794
21.757593,20,27.096563
14.025878,17,27.124651
15.911466,18,27.154729
12.212092,25,27.740013
8.232105,10,27.756435
18.082744,20,27.790695
24.500128,22,27.834774
18.705726,33,28.464021
15.033768,18,28.492432
13.578509,24,28.527622
27.309845,43,28.609539
19.768378,19,29.206069
16.349286,22,29.242723
7.312607,12,29.264868
11.485581,17,29.291328
11.008814,14,29.313339
6.236503,15,29.355768
8.912575,14,29.981481
9.612716,22,30.015952
53.862769,46,30.07972
32.259364,37,30.796185
11.945516,20,30.837052
24.798066,25,30.88027
5.016355,10,30.89759
16.270626,18,30.918835
19.121687,23,31.592989
8.487947,35,31.646751
10.252987,16,31.681457
11.299654,16,31.707818
16.343995,16,31.730584
8.215343,11,32.403928
11.593598,15,32.430803
7.778474,11,32.451314
13.367055,16,32.477438
13.632627,16,32.50596
13.157515,18,32.527974
11.673454,35,33.259586
10.192306,13,33.284568
10.403655,25,33.312915
28.885928,25,33.343272
21.691942,44,34.044328
8.477079,27,34.103189
8.124081,10,34.128242
76.626114,52,34.899434
7.788147,21,34.940153
22.109604,20,34.965735
20.945439,21,35.005607
14.234908,14,35.048256
13.486755,24,35.802785
8.349516,22,35.840708
8.079812,15,35.869574
11.543864,13,35.88708
14.594727,17,35.916169
15.674427,19,35.961625
8.562836,22,36.714821
6.402395,12,36.73809
18.404438,19,36.769629
15.337186,19,36.805347
8.8971,13,36.831822
12.113601,15,36.850908
10.165944,13,37.552663
68.944187,49,37.622207
9.976971,19,37.661623
20.052927,19,37.68613
111.015858,67,38.55767
10.497357,12,38.599679
23.83572,24,38.633495
9.344316,14,39.399389
8.712168,14,39.425237
9.784047,19,39.451992
38.557611,33,39.502163
10.706932,22,39.545628
11.183943,21,40.38312
7.795219,15,40.412983
20.833403,35,40.467375
19.183669,21,40.504973
8.316082,16,41.303148
10.445827,18,41.349604
9.969593,39,41.425046
23.649816,27,41.471239
14.2031,20,42.29463
23.83956,20,42.326852
6.990437,9,42.341246
10.23938,12,42.36237
24.373584,28,42.418925
67.54983,66,43.321977
43.346479,32,43.371712
14.687213,17,43.401502
25.04007,29,44.304962
13.417966,22,44.33952
10.494965,13,44.361298
10.137092,14,44.385797
47.632905,44,45.347745
9.208734,14,45.380977
10.646024,16,45.407821
11.002266,16,45.435509
29.476093,26,45.474898
18.107601,38,46.372957
13.021219,25,46.432334
11.528751,30,46.483454
59.088472,42,47.359778
16.291208,24,47.404325
36.385572,48,47.512471
13.363136,18,48.413434
12.941413,17,48.444196
10.328804,14,48.467956
9.759006,17,48.500706
60.238419,70,49.523741
13.14185,17,49.563093
12.350365,16,49.599275
12.870034,23,49.662289
14.12097,24,50.627051
13.064391,20,50.662531
13.476145,21,50.690629
4.73551,13,50.710466
9.429836,14,50.738137
20.470763,20,51.649341
12.889965,15,51.67308
9.81028,25,51.718494
11.115111,15,51.754247
5.262777,10,51.769962
11.751248,23,51.798293
22.38791,27,52.749362
10.151405,13,52.775876
38.279279,33,52.81252
15.027699,17,52.842381
29.833189,30,53.784145
6.644966,9,53.801713
7.399414,14,53.824654
14.030887,14,53.847811
12.29251,21,53.884315
21.997632,20,53.930514
8.198683,15,54.941093
6.783491,10,54.95904
9.518619,11,54.97852
29.049374,47,55.036483
10.845998,14,55.061752
65.183248,61,56.051891
13.524556,16,56.094433
11.251124,15,56.11557
17.633933,17,56.145737
10.162978,19,57.173425
6.49401,13,57.201064
10.029433,16,57.222663
24.057712,25,57.270658
12.377922,20,57.30798
11.984903,19,58.298031
9.281193,15,58.322797
11.151554,16,58.343202
10.652677,15,58.371176
13.788787,34,58.42396
16.83246,19,59.464154
11.414861,13,59.489564
7.848125,28,59.535285
7.045687,10,59.556957
12.965569,16,59.577548
80.993968,51,60.712666
20.106665,26,60.758022
18.004739,19,60.794492
7.772567,11,60.817593
14.452498,26,61.869194
11.478498,18,61.905463
11.342802,24,61.94173
9.484357,18,61.981781
9.057037,20,62.016481
26.668796,35,63.105594
12.380047,19,63.142922
13.262801,17,63.181607
5.292768,9,63.20735
13.827848,26,63.24961
18.847697,19,64.299281
30.437465,44,64.349
6.03435,10,64.371953
26.919204,33,64.448079
20.473288,22,65.575467
9.769218,23,65.611407
7.871136,28,65.67577
39.19937,40,66.816675
25.785487,29,66.86883
23.283908,21,66.905684
39.096046,39,66.953604
39.98623,32,68.08463
25.423924,23,68.118409
20.97862,29,68.154937
16.967642,20,69.267063
8.809908,12,69.290451
12.864949,22,69.327376
22.139052,24,69.365458
7.071706,10,69.38969
7.769108,16,69.41523
7.858391,10,69.436929
22.28806,29,70.59226
22.078261,34,70.651096
15.323227,16,70.683901
7.767633,11,70.70503
34.507069,41,71.875592
10.02806,14,71.904945
5.516593,12,71.920794
7.869621,12,71.947424
9.009186,12,71.968302
15.252471,17,71.991549
12.441249,19,73.152487
10.574568,15,73.179025
11.507801,20,73.212207
11.30121,19,73.246789
29.233146,27,73.282138
8.476779,16,74.48159
44.442278,33,74.527326
14.485321,18,74.560609
13.35856,21,74.595816
10.285859,19,75.791496
12.005321,15,75.832818
12.987757,20,75.882162
30.038255,36,75.939988
10.170828,23,75.98529
11.385378,17,77.118947
12.143824,18,77.14335
13.529491,22,77.174639
13.643704,21,77.204443
10.509974,26,77.252499
10.94874,15,78.403334
11.957912,15,78.443748
13.025104,32,78.513213
16.743286,25,78.564549
32.428256,47,79.867825
29.416266,35,79.947373
10.659809,17,79.983509
12.628596,14,80.00654
28.839863,27,81.246464
28.415907,31,81.302869
16.956015,29,81.34318
13.461463,14,81.372597
11.212363,15,82.664852
39.819032,33,82.717938
8.844464,12,82.747429
11.311568,14,82.770606
6.901963,12,82.78717
11.712176,18,84.052562
52.310633,37,84.114166
24.532124,22,84.156878
6.154413,9,84.178168
7.435327,9,84.196332
7.044846,9,84.214647
13.308673,24,85.518744
50.96862,36,85.584559
7.421647,15,85.613226
6.236995,18,85.642753
47.137256,36,86.955755
14.706043,21,87.017414
19.559074,37,87.074631
15.766105,17,87.113129
15.392411,18,88.639024
8.982598,19,88.672614
20.919609,27,88.72408
14.08638,16,88.759415
15.820337,16,88.808856
96.515998,74,90.215128
163.486424,122,91.722186
15.261641,19,93.041154
7.900401,15,93.070263
11.805762,22,93.105953
9.57921,13,93.1286
8.113542,10,93.143164
23.189113,31,93.180233
11.982799,19,94.517155
21.128626,25,94.547791
22.355582,22,94.59739
11.461992,26,94.640357
11.437411,18,96.01539
21.782757,32,96.063314
16.15791,17,96.094173
16.495593,25,96.139364
35.382361,37,97.571495
10.42101,13,97.592566
7.52235,14,97.614427
8.268835,18,97.649078
11.679884,15,97.673941
26.884819,32,99.081542
16.093294,21,99.130896
23.492082,21,99.169183
9.058775,14,99.202406
6.410557,11,99.235699
21.875425,20,99.295394
19.048575,20,100.671299
8.203446,12,100.692827
12.120212,13,100.723612
16.068335,17,100.750851
10.864986,17,100.785567
16.239825,17,100.81696
7.692637,11,102.20725
12.057373,17,102.239362
6.703167,9,102.258658
9.755517,22,102.298578
19.52141,20,102.338019
20.533762,23,102.381772
9.913647,14,103.803471
16.466485,21,103.834366
16.894763,20,103.869675
9.630524,11,103.895679
5.758851,9,103.918458
33.779328,30,103.976695
22.933019,27,105.454954
29.96622,51,105.548207
8.669869,13,105.578488
13.384507,23,107.037427
13.887294,25,107.073169
7.50155,13,107.100211
10.770225,13,107.120232
15.441105,19,107.145924
10.081128,13,107.166501
8.498283,10,108.573858
18.468514,20,108.601936
24.535403,24,108.639795
23.254258,22,108.680385
27.229203,30,110.166884
11.619173,13,110.194954
44.39653,34,110.241295
13.161161,22,110.284402
27.483403,33,111.817371
18.42226,20,111.862346
14.782084,17,111.893634
9.777123,13,111.91869
11.926039,26,111.959756
8.840549,13,111.984861
18.656411,17,113.463851
6.727628,9,113.481562
23.50314,23,113.510705
13.976409,22,113.542928
16.793396,21,113.571324
15.220789,25,115.137289
11.905081,19,115.162498
18.196745,20,115.18779
13.1893,15,115.216311
5.40998,8,115.235895
10.928358,14,115.257276
18.640783,23,116.798527
7.58111,13,116.818913
4.537037,25,116.855447
7.253564,10,116.876899
12.671744,21,116.919848
9.503095,16,116.964095
10.577973,15,118.475011
32.251056,27,118.506331
9.219079,19,118.532336
15.608404,16,118.553428
12.155289,14,118.575391
15.191608,26,120.139765
21.501379,23,120.181373
24.075831,20,120.212753
8.528454,10,120.231014
17.83933,21,120.258305
9.779669,19,121.835427
13.612298,22,121.872732
13.543625,20,121.898696
21.655138,41,121.959754
6.411178,13,121.985289
13.67904,19,123.601307
9.715217,17,123.631961
38.96846,34,123.677221
7.956409,12,123.707071
112.033941,72,125.422835
18.230771,20,125.466107
45.554124,35,127.106926
5.296534,9,127.126195
16.897767,21,127.161102
9.163162,16,127.192025
9.003373,24,127.247525
17.096063,16,127.281441
15.695075,17,128.877534
13.278375,20,128.900933
6.838804,10,128.922235
9.856257,24,128.96845
8.173161,14,128.993651
11.610665,15,129.017936
22.07869,30,130.682338
18.022504,24,130.723839
20.084116,33,130.774921
8.444452,11,130.804648
20.112613,32,132.459077
9.825272,13,132.480073
8.818139,12,132.495618
27.198931,33,132.532571
12.322218,18,134.162564
7.778465,10,134.184568
10.14386,15,134.207964
10.996672,20,134.231232
8.560499,14,134.25038
16.153654,21,134.281904
9.200933,35,135.986807
13.349297,21,136.036009
11.532619,13,136.07154
12.38316,14,136.105207
13.51508,17,136.130885
19.525247,38,137.855824
11.712519,14,137.891467
27.129615,25,137.934743
5.853595,14,137.9557
13.664708,18,137.998561
