eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,eval_qs_difference,total timesteps,eval_time_elapsed,eval_eplenmean,mean 100 episode reward,update_time,discount_q,fps,train_time,qs_mean,time_elapsed,current_lr,episodes,act_time,eplenmean,qs_abs_difference,qs_difference,ep_rewmean,env_time,n_updates,q_grad_norm,qfs_loss
3.9016539565057586,2.794242,4.0,3.985384818181819,-1.1445915,-2.794241848120194,1,0,7.454545454545454,,,,,,,,,,,,,,,,,,
,,,,,,3667,,,19.4,10,8.971540115040058,191,0,-0.5593513,19,0.0003,160,0,23.27,6.337983489283475,-6.337983489283475,19.413363829999998,5,0,,
,,,,,,3717,,,18.9,11,3.750549498169675,187,0,-0.5344957,19,0.0003,164,0,22.77,2.7131013710440572,-2.7131013710440572,18.8500446,5,0,,
,,,,,,3824,,,18.4,11,8.890317365169043,185,0,-0.73579293,20,0.0003,168,0,22.53,12.53114960156319,-12.53114960156319,18.42808268,5,0,,
,,,,,,3925,,,18.5,12,3.681577925674726,182,0,-0.3604145,21,0.0003,172,0,22.83,4.112777927930344,-4.112777927930344,18.483036979999998,6,0,,
,,,,,,4039,,,18.8,12,4.063406955343955,180,0,-0.25121877,22,0.0003,176,0,22.99,2.898964933734097,-2.4376920113549905,18.785092320000004,6,0,,
,,,,,,4132,,,18.7,13,5.965471850438274,177,0,-0.5915356,23,0.0003,180,0,23.03,5.32254164664196,-5.32254164664196,18.74188523,6,0,,
,,,,,,4210,,,18.2,14,4.766716806815078,174,0,-0.85498077,24,0.0003,184,0,22.77,5.448743925852863,-5.448743925852863,18.192420220000002,6,0,,
,,,,,,4296,,,17.9,14,4.660782752572593,177,0,-0.5499122,24,0.0003,188,0,22.57,2.8866462277518523,-2.7125961091729573,17.8725127,6,0,,
,,,,,,4382,,,18.1,14,7.742498173719678,175,0,-0.7095113,25,0.0003,192,0,22.63,8.70693701365412,-8.70693701365412,18.132357040000002,6,0,,
,,,,,,4500,,,17.9,16,3.6027225320159637,168,0,-0.36325252,26,0.0003,196,0,22.58,2.019153523088826,-1.5763616655271788,17.90536827,6,0,,
,,,,,,4560,,,17.6,16,3.8129181999448294,170,0,-0.49580088,26,0.0003,200,0,22.34,3.545886468923574,-3.545886468923574,17.55345963,7,0,,
,,,,,,4657,,,17.9,16,7.506159870673977,168,0,-0.4548546,27,0.0003,204,0,22.68,4.25524568243449,-3.51212342689246,17.872949540000004,7,0,,
,,,,,,4740,,,17.7,17,9.289903551517662,166,0,-0.6589744,28,0.0003,208,0,22.38,10.161232237859304,-10.161232237859304,17.684577870000002,7,0,,
,,,,,,4839,,,16.8,18,5.809165020387102,164,0,-0.49366826,29,0.0003,212,0,22.0,5.92545873501804,-5.92545873501804,16.82166015,7,0,,
,,,,,,4918,,,16.8,19,9.452448062566447,162,0,-0.5499273,30,0.0003,216,0,21.95,6.662882978338099,-6.662882978338099,16.84306517,7,0,,
,,,,,,5014,,,16.6,19,2.936836169781901,161,0,-0.95465404,31,0.0003,220,0,21.73,4.564695986351124,-4.564695986351124,16.63444939,7,0,,
,,,,,,5158,,,17.6,20,50.575342894862615,160,0,-0.5658708,32,0.0003,224,0,22.06,64.9990895876127,-64.9990895876127,17.60571567,7,0,,
,,,,,,5253,,,18.1,21,5.720150033903557,158,0,-0.6554665,33,0.0003,228,0,22.05,6.407983041336667,-6.407983041336667,18.10426821,7,0,,
,,,,,,5354,,,18.3,22,3.708020271721905,156,0,-0.7238987,34,0.0003,232,0,22.12,5.454422204301072,-5.454422204301072,18.293938250000004,8,0,,
,,,,,,5451,,,18.8,23,6.077818101240022,155,0,-0.74288875,35,0.0003,236,0,22.36,7.944643727570087,-7.944643727570087,18.76362803,8,0,,
,,,,,,5526,,,19.1,23,6.939516514587026,153,0,-0.6592624,36,0.0003,240,0,22.55,7.2587604655358895,-7.2587604655358895,19.105737140000002,8,0,,
,,,,,,5619,,,19.0,24,6.846040405844782,151,0,-0.62686884,37,0.0003,244,0,22.61,7.22405947147863,-7.22405947147863,19.02410689,8,0,,
,,,,,,5710,,,19.1,25,5.7422210971318846,150,0,-0.5192394,38,0.0003,248,0,22.88,5.192058477165725,-5.192058477165725,19.085482690000003,8,0,,
,,,,,,5805,,,19.2,26,5.696223333345938,148,0,-0.51601017,39,0.0003,252,0,22.98,3.7106480818713723,-3.394155756842154,19.21261002,8,0,,
,,,,,,5919,,,20.2,27,6.190396989980377,147,0,-0.59744644,40,0.0003,256,0,23.33,7.587994862196901,-7.587994862196901,20.21029199,8,0,,
,,,,,,5979,,,20.2,27,16.685171839757537,148,0,-0.59990317,40,0.0003,260,0,23.12,12.313383912389593,-12.313383912389593,20.24730251,8,0,,
,,,,,,6053,,,20.4,28,8.074651539233018,146,0,-0.58268964,41,0.0003,264,0,23.36,6.391833845357603,-6.391833845357603,20.36580601,8,0,,
,,,,,,6166,,,20.4,29,3.8725271519794027,145,0,-0.6743751,42,0.0003,268,0,23.42,4.492177760151905,-4.492177760151905,20.356449429999998,9,0,,
,,,,,,6247,,,20.4,30,12.426706928935012,143,0,-0.5385134,43,0.0003,272,0,23.22,11.345829422327895,-11.345829422327895,20.377456190000004,9,0,,
,,,,,,6335,,,19.8,31,6.317272186822052,141,0,-0.57270956,44,0.0003,276,0,22.96,5.526072490144663,-5.526072490144663,19.81423321,9,0,,
,,,,,,6411,,,19.6,31,4.577945790772994,140,0,-0.27841645,45,0.0003,280,0,22.79,2.3116996710736797,-2.3116996710736797,19.630652660000003,9,0,,
,,,,,,6472,,,19.4,31,3.4924899977635815,141,0,-0.59417236,45,0.0003,284,0,22.62,3.076913592465234,-3.076913592465234,19.44523179,9,0,,
,,,,,,6553,,,19.5,32,21.04827818074803,139,0,-0.45110393,46,0.0003,288,0,22.57,15.647347643584345,-15.647347643584345,19.48320394,9,0,,
,,,,,,6650,,,19.4,33,5.598642470391337,138,0,-0.8574295,48,0.0003,292,0,22.68,7.9381327949139955,-7.9381327949139955,19.37913468,9,0,,
,,,,,,6716,,,19.0,34,5.743592091043976,136,0,-0.8844359,49,0.0003,296,0,22.16,6.230820014866597,-6.230820014866597,18.98482193,9,0,,
,,,,,,6786,,,19.2,34,7.553226829574075,137,0,-0.6471842,49,0.0003,300,0,22.26,6.20493035328071,-6.20493035328071,19.224342509999996,9,0,,
,,,,,,6894,,,19.6,35,16.26553063916212,136,0,-0.6603824,50,0.0003,304,0,22.37,21.814678333884164,-21.814678333884164,19.608383919999998,10,0,,
,,,,,,7029,,,20.6,38,3.4950651038350724,132,0,-0.74208814,52,0.0003,308,0,22.89,6.591913487862137,-6.591913487862137,20.56119666,10,0,,
,,,,,,7158,,,20.8,39,2.010981316586218,131,0,-0.32300487,54,0.0003,312,0,23.19,2.4570355508676167,-2.4570355508676167,20.79559697,10,0,,
,,,,,,7254,,,20.9,40,6.38959069129737,130,0,-0.6061406,55,0.0003,316,0,23.36,6.28253524514973,-6.28253524514973,20.88774259,10,0,,
,,,,,,7321,,,20.5,41,8.79505335477009,128,0,-0.64056206,56,0.0003,320,0,23.07,6.75378399168737,-6.75378399168737,20.50767984,10,0,,
,,,,,,7422,,,19.4,42,14.592885310709356,127,0,-0.700634,58,0.0003,324,0,22.64,17.522660281952138,-17.522660281952138,19.44219161,10,0,,
,,,,,,7491,,,18.7,42,7.7122641711146676,128,0,-0.8033855,58,0.0003,328,0,22.38,8.30481140354072,-8.30481140354072,18.68268394,10,0,,
,,,,,,7602,,,19.0,44,7.306586100432748,125,0,-0.63216233,60,0.0003,332,0,22.48,8.811039687628446,-8.811039687628446,19.02616384,11,0,,
,,,,,,7699,,,18.8,44,14.496323222005778,126,0,-0.5454675,60,0.0003,336,1,22.48,14.282060249373629,-14.282060249373629,18.814668379999997,11,0,,
,,,,,,7779,,,18.6,45,4.075970882765031,125,0,-0.64817643,62,0.0003,340,1,22.53,4.304699910208967,-4.304699910208967,18.61919434,11,0,,
,,,,,,7876,,,18.6,46,12.836669636364151,124,0,-0.5655578,63,0.0003,344,1,22.57,11.89684841708672,-11.89684841708672,18.605477770000004,11,0,,
,,,,,,7956,,,18.7,47,4.457270971179291,122,0,-0.7011649,64,0.0003,348,1,22.46,5.0048533486596956,-5.0048533486596956,18.66578224,11,0,,
,,,,,,8012,,,18.3,49,4.96343271161621,121,0,-0.20866154,66,0.0003,352,1,22.07,2.5620221037327373,-2.5620221037327373,18.27783955,11,0,,
,,,,,,8116,,,18.1,50,5.256138874631995,120,0,-0.55248374,67,0.0003,356,1,21.97,6.329703799332187,-6.329703799332187,18.137598909999998,11,0,,
,,,,,,8226,,,18.3,51,5.892897064336544,119,0,-0.5891856,68,0.0003,360,1,22.47,5.344844911305378,-5.344844911305378,18.289704250000003,11,0,,
,,,,,,8308,,,18.4,52,4.663178700964608,118,0,-0.7849391,70,0.0003,364,1,22.55,5.147251053126873,-5.147251053126873,18.421924410000003,11,0,,
,,,,,,8380,,,18.2,52,12.408193547783753,119,0,-0.61693347,70,0.0003,368,1,22.14,11.135859599599247,-11.135859599599247,18.20627195,12,0,,
,,,,,,8440,,,18.1,54,9.316864344865884,117,0,-0.6929707,71,0.0003,372,1,21.93,9.115771574546807,-9.115771574546807,18.087167850000004,12,0,,
,,,,,,8506,,,18.2,55,16.404813545365236,116,0,-0.72994965,73,0.0003,376,1,21.71,15.735684388101015,-15.735684388101015,18.20665912,12,0,,
,,,,,,8583,,,18.1,55,3.0259542069636973,117,0,-0.47698194,73,0.0003,380,1,21.72,3.194993886174346,-3.194993886174346,18.13271839,12,0,,
,,,,,,8676,,,18.7,56,21.05004002496508,115,0,-0.69071436,74,0.0003,384,1,22.04,23.391328117690076,-23.391328117690076,18.749512699999997,12,0,,
,,,,,,8788,,,19.4,58,4.744833393807415,115,0,-0.6172739,76,0.0003,388,1,22.35,6.478156497648839,-6.478156497648839,19.44158557,12,0,,
,,,,,,8846,,,19.1,59,7.814710581302696,113,0,-0.59171283,77,0.0003,392,1,21.96,5.603336680440879,-5.603336680440879,19.14833819,12,0,,
,,,,,,8950,,,19.5,60,9.11469841047535,112,0,-0.820385,79,0.0003,396,1,22.34,13.005688367943915,-13.005688367943915,19.46728342,12,0,,
,,,,,,9009,,,19.4,62,7.269813126829723,111,0,-0.671813,80,0.0003,400,1,22.23,6.522115400490118,-6.522115400490118,19.351762029999996,12,0,,
,,,,,,9098,,,19.1,62,17.572802167270122,112,0,-0.70423377,81,0.0003,404,1,22.04,18.770070096738902,-18.770070096738902,19.07176993,13,0,,
,,,,,,9158,,,17.9,63,3.48398224579452,110,0,-0.24729352,82,0.0003,408,1,21.29,1.841629041132311,-1.4255622591094965,17.914915469999997,13,0,,
,,,,,,9241,,,17.6,64,25.18833422539346,109,0,-0.71178555,84,0.0003,412,1,20.83,24.73561077768732,-24.73561077768732,17.57800198,13,0,,
,,,,,,9322,,,17.4,66,5.886429869525391,108,0,-0.43274915,85,0.0003,416,1,20.68,2.528603753443584,-2.014670914836009,17.35826392,13,0,,
,,,,,,9385,,,17.4,66,8.995444550546912,109,0,-0.7410171,85,0.0003,420,1,20.64,8.525139739936137,-8.525139739936137,17.369288880000003,13,0,,
,,,,,,9460,,,16.9,67,9.564077515158091,108,0,-0.64305615,87,0.0003,424,1,20.38,8.241098569698021,-8.241098569698021,16.91395901,13,0,,
,,,,,,9551,,,17.4,69,11.614107278811744,107,0,-0.74169725,89,0.0003,428,1,20.6,14.846655626767255,-14.846655626767255,17.415131289999998,13,0,,
,,,,,,9670,,,17.6,70,4.075861280864967,106,0,-0.7823154,90,0.0003,432,1,20.68,6.597677340932413,-6.597677340932413,17.55946737,13,0,,
,,,,,,9738,,,17.4,72,13.540932157114895,105,0,-0.63102996,92,0.0003,436,1,20.39,11.095694192704498,-11.095694192704498,17.353593420000003,14,0,,
,,,,,,9884,,,18.2,73,3.0690773840673673,104,0,-0.34983602,94,0.0003,440,1,21.05,2.9203458003215146,-1.309208974904203,18.23208405,14,0,,
,,,,,,9984,,,18.3,75,16.13147018914854,103,0,-0.54687834,96,0.0003,444,1,21.08,14.495271647021642,-14.495271647021642,18.31784581,14,0,,
3.9090755131394173,2.7985003,4.0,3.993075272727273,-1.1448662,-2.798500518665168,10001,0,7.454545454545454,,,,,,,,,,,,,,,,,,
,,,,,,10035,,,18.2,76,9.022298564945254,102,0,-0.89258826,97,0.0003,448,1,20.79,8.132781363246147,-8.132781363246147,18.18509538,14,0,,
,,,,,,10092,,,18.2,76,3.4027576709196192,103,0,-0.70664525,97,0.0003,452,1,20.8,3.5520640782598902,-3.5520640782598902,18.19827256,14,0,,
,,,,,,10164,,,17.4,78,6.565790730475918,102,0,-0.5979405,99,0.0003,456,1,20.48,6.203971250798075,-6.203971250798075,17.395462820000002,14,0,,
,,,,,,10253,,,17.3,79,4.3533711729160425,101,0,-0.6179534,101,0.0003,460,1,20.27,4.086804575291751,-4.086804575291751,17.3462992,14,0,,
,,,,,,10327,,,17.2,81,6.484301877477432,100,0,-0.66787785,103,0.0003,464,1,20.19,5.033041175422628,-5.033041175422628,17.209506379999997,14,0,,
,,,,,,10415,,,17.1,83,11.149827345387541,99,0,-0.4613396,104,0.0003,468,1,20.35,9.128927848141975,-9.128927848141975,17.07545619,14,0,,
,,,,,,10478,,,17.0,83,4.5334762571891005,99,0,-0.7108769,104,0.0003,472,1,20.38,4.853609073572803,-4.853609073572803,17.029912680000002,14,0,,
,,,,,,10605,,,17.7,86,4.770620247367071,97,0,-0.8476,108,0.0003,476,1,20.99,9.24160386385516,-9.24160386385516,17.68807925,15,0,,
,,,,,,10725,,,18.4,87,35.56793290528851,97,0,-0.50191426,110,0.0003,480,1,21.42,42.01798001359574,-42.01798001359574,18.41863722,15,0,,
,,,,,,10797,,,18.1,87,8.30430614027472,97,0,-0.7196342,110,0.0003,484,1,21.21,8.795281416735635,-8.795281416735635,18.07941352,15,0,,
,,,,,,10871,,,17.5,89,4.287202106569296,96,0,-0.6193458,112,0.0003,488,1,20.83,4.399842781882317,-4.399842781882317,17.451496140000003,15,0,,
,,,,,,10972,,,17.6,91,4.313701389770961,96,0,-0.27819273,114,0.0003,492,1,21.26,2.716113109226123,-1.2871967581726902,17.5849559,15,0,,
,,,,,,11043,,,17.2,93,5.812606533803509,94,0,-0.38310206,116,0.0003,496,1,20.93,2.8380551350971928,-1.6672448760435237,17.208332300000002,16,0,,
,,,,,,11112,,,17.3,96,8.526360151723456,92,0,-0.70137185,120,0.0003,500,1,21.03,8.070156696688896,-8.070156696688896,17.31918617,16,0,,
,,,,,,11195,,,17.2,96,8.38849416519824,93,0,-0.54069203,120,0.0003,504,1,20.97,7.76296309023692,-7.76296309023692,17.199718949999998,16,0,,
,,,,,,11278,,,17.5,98,5.339060428951572,92,0,-0.5857356,122,0.0003,508,1,21.2,5.683872422358527,-5.683872422358527,17.5239327,16,0,,
,,,,,,11389,,,17.5,99,5.241550222670527,91,0,-0.5576544,124,0.0003,512,1,21.48,5.611068696485594,-5.611068696485594,17.4729202,16,0,,
,,,,,,11443,,,17.4,101,8.201155667148555,90,0,-0.8238019,126,0.0003,516,1,21.21,7.4336313379762435,-7.4336313379762435,17.388269479999998,16,0,,
,,,,,,11525,,,17.4,103,8.367564562941526,89,0,-0.54184395,128,0.0003,520,1,21.4,9.010375724956788,-9.010375724956788,17.375847750000002,17,0,,
,,,,,,11611,,,17.4,105,10.882499636429454,89,0,-0.59586287,130,0.0003,524,1,21.51,9.018936155775249,-9.018936155775249,17.352057430000002,17,0,,
,,,,,,11676,,,17.0,105,15.640147429933462,89,0,-0.4377624,130,0.0003,528,1,21.25,11.19597852576931,-11.19597852576931,17.008022389999997,17,0,,
,,,,,,11818,,,17.2,109,7.853526687494486,88,0,-0.635732,134,0.0003,532,1,21.48,14.069055160489063,-14.069055160489063,17.24537051,17,0,,
,,,,,,11938,,,18.0,110,29.832464926708532,87,0,-0.44337726,136,0.0003,536,1,22.0,34.954212460659924,-34.954212460659924,17.951987090000003,17,0,,
,,,,,,12009,,,16.9,112,4.247205717629471,86,0,-0.71813107,138,0.0003,540,1,21.25,4.702340686686285,-4.702340686686285,16.90305377,17,0,,
,,,,,,12100,,,16.8,114,11.251617617552062,86,0,-0.4747228,140,0.0003,544,1,21.16,7.644439009385294,-7.607307108593018,16.79087836,17,0,,
,,,,,,12230,,,18.1,116,3.8821170669976635,85,0,-0.7312843,142,0.0003,548,1,21.95,6.9759418380884695,-6.9759418380884695,18.138967830000002,17,0,,
,,,,,,12290,,,18.2,116,13.440293323657611,86,0,-0.6231758,142,0.0003,552,1,21.98,10.812987242834936,-10.812987242834936,18.22420872,18,0,,
,,,,,,12379,,,18.5,118,5.472947052140521,85,0,-0.34229136,144,0.0003,556,1,22.15,4.181094006864068,-4.181094006864068,18.52030119,18,0,,
,,,,,,12460,,,18.4,120,6.586215007396094,84,0,-0.4193897,146,0.0003,560,1,22.07,2.4652792970331543,-2.05195390634141,18.43650212,18,0,,
,,,,,,12531,,,18.6,122,6.24429683106019,84,0,-0.73475945,148,0.0003,564,1,22.04,6.321073221134587,-6.321073221134587,18.58126255,18,0,,
,,,,,,12607,,,18.6,124,5.2789420661564845,83,0,-0.6398037,151,0.0003,568,1,21.92,5.201362443012244,-5.201362443012244,18.63382233,18,0,,
,,,,,,12728,,,19.4,126,15.399821127841761,82,0,-0.7115322,153,0.0003,572,1,22.5,19.701674450806134,-19.701674450806134,19.35039684,18,0,,
,,,,,,12802,,,18.5,128,6.801863064163028,82,0,-0.60654116,155,0.0003,576,1,21.97,5.501929296861808,-5.501929296861808,18.538254270000003,18,0,,
,,,,,,12851,,,17.7,128,4.716250898031575,82,0,-0.7748722,155,0.0003,580,1,21.26,4.126251314667227,-4.126251314667227,17.740820910000004,18,0,,
,,,,,,12936,,,17.7,130,9.181981337593092,81,0,-0.51673603,157,0.0003,584,1,21.39,8.115050122265105,-8.115050122265105,17.71413596,18,0,,
,,,,,,13030,,,17.7,132,7.981739686261408,81,0,-0.48825958,160,0.0003,588,1,21.59,5.074346455641539,-4.420840716230837,17.650048339999998,19,0,,
,,,,,,13131,,,18.0,134,8.051292294110173,80,0,-0.6672701,162,0.0003,592,1,21.59,10.818925580003228,-10.818925580003228,17.99780569,19,0,,
,,,,,,13190,,,18.0,134,6.093060623680731,81,0,-0.64140046,162,0.0003,596,1,21.47,4.51845206043314,-4.51845206043314,17.96013032,19,0,,
,,,,,,13295,,,18.3,136,5.185558799115554,80,0,-0.72457623,164,0.0003,600,1,21.83,7.589166632404877,-7.589166632404877,18.32035471,19,0,,
,,,,,,13367,,,18.1,138,6.3020462879311765,80,0,-0.63038594,166,0.0003,604,1,21.72,5.803882568128908,-5.803882568128908,18.13105106,19,0,,
,,,,,,13437,,,18.0,140,6.504338562967721,79,0,-0.67709845,169,0.0003,608,1,21.59,6.480003768731519,-6.480003768731519,17.969171839999998,19,0,,
,,,,,,13511,,,17.7,142,8.87321223289098,78,0,-0.62786436,171,0.0003,612,1,21.22,8.579033167035206,-8.579033167035206,17.730632229999998,19,0,,
,,,,,,13606,,,18.0,145,8.439053399290142,77,0,-0.44314122,174,0.0003,616,1,21.63,6.390772811380017,-6.381947313398786,17.97777138,19,0,,
,,,,,,13672,,,18.0,145,7.033010249995839,78,0,-0.73294866,175,0.0003,620,1,21.47,6.858492507611687,-6.858492507611687,18.04566882,20,0,,
,,,,,,13756,,,18.2,148,10.581007434067091,77,0,-0.63509333,178,0.0003,624,1,21.45,9.909287697306892,-9.909287697306892,18.174460020000005,20,0,,
,,,,,,13826,,,18.3,150,4.4879334592914475,76,0,-0.46075696,180,0.0003,628,1,21.5,4.58154271173452,-4.58154271173452,18.25027616,20,0,,
,,,,,,13907,,,17.4,153,9.341971051147388,75,0,-0.6277213,183,0.0003,632,1,20.89,9.966876618595837,-9.966876618595837,17.4263391,20,0,,
,,,,,,14015,,,17.3,155,3.6191262837167435,75,0,-0.6089567,185,0.0003,636,1,20.77,4.544612234859102,-4.544612234859102,17.263091770000003,21,0,,
,,,,,,14085,,,17.4,155,7.228781313841426,75,0,-0.7067308,185,0.0003,640,1,20.76,6.811636098055715,-6.811636098055715,17.422847570000002,21,0,,
,,,,,,14185,,,17.6,157,5.300095092690585,75,0,-0.64028573,188,0.0003,644,1,20.85,6.405038798522569,-6.405038798522569,17.60562666,21,0,,
,,,,,,14312,,,17.1,162,6.8494334915250334,74,0,-0.58517027,193,0.0003,648,1,20.82,11.309812084544959,-11.309812084544959,17.14807292,21,0,,
,,,,,,14386,,,17.3,162,13.218374571490882,74,0,-0.6612366,193,0.0003,652,1,20.96,13.862645981818984,-13.862645981818984,17.263272530000002,21,0,,
,,,,,,14443,,,16.9,164,7.966277414923803,73,0,-0.82097816,195,0.0003,656,1,20.64,7.512487781892936,-7.512487781892936,16.8730323,21,0,,
