eval mean 100 episode reward,eval_eplenmean,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,total timesteps,eval_qs,eval_time_elapsed,eval_discount_q,qs_abs_difference,episodes,ep_rewmean,fps,env_time,eplenmean,train_time,qs_difference,qs_mean,time_elapsed,mean 100 episode reward,update_time,current_lr,act_time,discount_q,n_updates,q_grad_norm,qfs_loss
,,,,,80000,,,,2.514527475855368,80,26.393910325,25,114,1000.0,1211,2.514527475855368,4.0366926,3162,26.4,1563,0.0003,50,2.3585358936625947e-12,110200,1.6433153,0.015203616
18.7,1000.0,1.9554383219750486,44.565086,2.0045037,80001,3.481343,24,29.602060706085876,,,,,,,,,,,,,,,,,,
,,,,,84000,,,,5.617082739464199,84,27.075246428571425,24,120,1000.0,1301,5.617082739464199,5.9941783,3447,27.1,1722,0.0003,54,2.2147725455739917e-12,118200,1.4668493,0.015202774
,,,,,88000,,,,5.181179798587705,88,27.779778875,23,126,1000.0,1388,5.181179798587705,6.7807827,3711,27.8,1888,0.0003,57,2.181355031995497e-12,126200,1.4191692,0.013596955
25.3,1000.0,1.7874870118618167,45.48492463636364,1.8041184,90001,3.4365656,24,29.28700826362573,,,,,,,,,,,,,,,,,,
,,,,,92000,,,,1.6746049901544025,92,28.45620070652174,22,131,1000.0,1473,1.6746049901544025,2.984634,4002,28.5,2058,0.0003,60,2.3165700545088647e-12,134200,1.1256917,0.011290286
,,,,,96000,,,,1.5821203884245378,96,29.109989187500002,22,137,1000.0,1563,1.5821203884245378,2.9604306,4276,29.1,2233,0.0003,64,2.3047817380175247e-12,142200,1.135303,0.010485465
,,,,,100000,,,,1.2600239067327605,100,29.97650047,21,143,1000.0,1649,1.1633763479403225,3.7393188,4557,30.0,2416,0.0003,67,2.2704329522486393e-12,150200,1.2847285,0.013748664
32.5,1000.0,1.1985441129113872,46.94529681818181,1.2382555,100001,2.936181,23,29.86760520970054,,,,,,,,,,,,,,,,,,
,,,,,104000,,,,1.2511001462369686,104,31.940284920000003,21,148,1000.0,1740,1.246075439268582,2.7421572,4872,31.9,2606,0.0003,70,2.469256102907783e-12,158200,1.2724328,0.012158997
,,,,,108000,,,,1.4541131973823216,108,34.16033986,20,154,1000.0,1825,1.4541131973823216,2.911813,5158,34.2,2796,0.0003,74,2.3776889004730046e-12,166200,1.2989938,0.012092129
40.2,1000.0,2.4613003697333147,49.95480972727273,2.470525,110001,4.5518694,22,29.34254273841524,,,,,,,,,,,,,,,,,,
,,,,,112000,,,,3.4491533779104357,112,36.369738639999994,20,160,1000.0,1915,3.438404229829878,7.2526207,5473,36.4,2988,0.0003,77,2.377158573464684e-12,174200,1.2673581,0.011638598
,,,,,116000,,,,2.264326011880217,116,38.92402743,20,166,1000.0,2005,2.240960036965091,7.6581063,5772,38.9,3186,0.0003,81,2.5545932389093116e-12,182200,1.1732024,0.011910739
