eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_eplenmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_qs,eval mean 100 episode reward,act_time,discount_q,qs_difference,train_time,eplenmean,n_updates,ep_rewmean,mean 100 episode reward,env_time,time_elapsed,fps,update_time,current_lr,qs_mean,qs_abs_difference,episodes,q_grad_norm,qfs_loss
,,88000,,,,,,,57,2.3252664332900104e-12,2.4427005742442054,1383,1000.0,126200,28.837167761363638,28.8,128,3752,23,1934,0.0003,5.86424,2.4427005742442054,88,1.9338331,0.019158445
68.05171081818182,24,90001,1000.0,1.74027978286083,31.059883496323508,1.7721457,5.4705224,29.6,,,,,,,,,,,,,,,,,,
,,92000,,,,,,,60,2.3215511287025406e-12,2.2053977858729756,1473,1000.0,134200,30.319986858695646,30.3,134,4056,22,2112,0.0003,5.8537664,2.2053977858729756,92,1.7268155,0.016853828
,,96000,,,,,,,64,2.4407850109391963e-12,1.5466115158876579,1560,1000.0,142200,31.72936305208334,31.7,139,4340,22,2297,0.0003,5.421693,1.6189074216795878,96,2.4047735,0.021889258
,,100000,,,,,,,67,2.377339673482861e-12,2.9352892486379267,1650,1000.0,150200,33.442153250000004,33.4,145,4632,21,2489,0.0003,8.903896,2.937584122884908,100,1.5302166,0.016997462
71.63119990909091,23,100001,1000.0,3.6124130979509954,31.13565958733216,3.662481,7.693103,40.3,,,,,,,,,,,,,,,,,,
,,104000,,,,,,,70,2.452151953075851e-12,2.2891796763538452,1740,1000.0,158200,38.60831413,38.6,150,4950,21,2684,0.0003,13.647223,2.2891796763538452,104,1.3838443,0.014165831
,,108000,,,,,,,73,2.628778557689852e-12,2.383323972840895,1830,1000.0,166200,44.836921339999996,44.8,156,5249,20,2882,0.0003,13.329124,2.383323972840895,108,1.1050302,0.011468649
136.06990327272726,23,110001,1000.0,1.6331303648354685,32.21443674481097,1.8143704,12.050892,57.1,,,,,,,,,,,,,,,,,,
,,112000,,,,,,,76,2.661611918603711e-12,1.5710735802558264,1920,1000.0,174200,50.45850101,50.5,162,5565,20,3073,0.0003,13.214228,1.5712427207634112,112,1.0777142,0.009687021
,,116000,,,,,,,80,2.6973613939344378e-12,1.6602091097366178,2005,1000.0,182200,56.87435636999999,56.9,168,5846,19,3259,0.0003,13.440397,1.6602091097366178,116,1.0917678,0.00952242
,,120000,,,,,,,83,2.6794921023462864e-12,1.9323239067105151,2093,1000.0,190200,63.05789173,63.1,173,6136,19,3449,0.0003,13.755471,1.9323239067105151,120,1.0015731,0.009038065
155.1868057272727,23,120001,1000.0,1.5413573537933807,32.031360972288034,1.7398368,13.888932,70.3,,,,,,,,,,,,,,,,,,
,,124000,,,,,,,86,2.4812477151237523e-12,2.186728832098258,2181,1000.0,198200,69.17363475,69.2,179,6453,19,3644,0.0003,14.473734,2.186728832098258,124,0.92622983,0.008212574
,,128000,,,,,,,89,2.627512747087157e-12,3.026139751040578,2271,1000.0,206200,75.1461668,75.1,185,6750,18,3841,0.0003,15.343746,3.0264187809202525,128,1.1722935,0.010129268
151.26988645454546,23,130001,1000.0,3.481267074953694,32.5449732699341,3.4996285,15.386303,82.9,,,,,,,,,,,,,,,,,,
,,132000,,,,,,,93,2.54814118321616e-12,2.975160091003355,2360,1000.0,214200,80.02141354000001,80.0,191,7070,18,4037,0.0003,15.163702,2.975160091003355,132,1.0118712,0.007997625
,,136000,,,,,,,96,2.576851352531619e-12,2.7579801099517964,2450,1000.0,222200,84.47798782999999,84.5,196,7367,18,4234,0.0003,15.021905,2.7579801099517964,136,0.89630026,0.006196495
,,140000,,,,,,,99,2.633928292360964e-12,2.872710219589671,2541,1000.0,230200,89.16148556,89.2,202,7671,18,4437,0.0003,15.250332,2.872710219589671,140,0.82492983,0.0061709476
157.70343427272726,24,140001,1000.0,2.2055569923872507,32.922281831655056,2.2531805,14.716595,96.4,,,,,,,,,,,,,,,,,,
,,144000,,,,,,,102,2.6695043963955165e-12,2.8829411219669976,2631,1000.0,238200,93.7604559,93.8,208,7981,18,4621,0.0003,15.295725,2.8829411219669976,144,0.8045254,0.005581566
,,148000,,,,,,,106,2.53416700649783e-12,2.933744041539651,2718,1000.0,246200,98.44582378999999,98.4,214,8265,17,4807,0.0003,15.179311,2.933744041539651,148,0.860154,0.004527332
157.90560499999998,24,150001,1000.0,2.433134561343891,33.06572395606775,2.4848034,14.95019,110.1,,,,,,,,,,,,,,,,,,
,,152000,,,,,,,109,2.5674665203836873e-12,2.6972767598606198,2805,1000.0,254200,103.2947489,103.3,219,8573,17,4992,0.0003,15.253388,2.6972767598606198,152,0.8320477,0.0046868064
,,156000,,,,,,,112,2.6606633680744623e-12,2.702668733322813,2894,1000.0,262200,107.78310632,107.8,225,8859,17,5178,0.0003,14.564188,2.702668733322813,156,0.8379445,0.005275397
,,160000,,,,,,,115,2.566290600654166e-12,3.4582039241517224,2984,1000.0,270200,112.04114273000003,112.0,231,9157,17,5376,0.0003,15.1591215,3.4582039241517224,160,0.6971708,0.0041074273
156.73945427272727,22,160001,1000.0,2.4889375904005164,32.76946100386992,2.5323355,14.918707,121.7,,,,,,,,,,,,,,,,,,
,,164000,,,,,,,119,2.6055340169034855e-12,2.7440741714062358,3075,1000.0,278200,116.65081398000002,116.7,237,9477,17,5571,0.0003,15.08405,2.7440741714062358,164,0.74716324,0.0045984923
,,168000,,,,,,,122,2.517138324058254e-12,2.980953694392687,3166,1000.0,286200,120.73339888000001,120.7,243,9779,17,5771,0.0003,15.402002,2.980953694392687,168,0.7250615,0.0038004552
148.29104145454548,23,170001,1000.0,2.7446461403410893,32.30889335845456,2.7684054,14.375169,132.0,,,,,,,,,,,,,,,,,,
,,172000,,,,,,,126,2.673679303177424e-12,2.8827174921872296,3258,1000.0,294200,124.78375392,124.8,249,10104,17,5969,0.0003,15.630822,2.8827174921872296,172,0.61333966,0.0036604118
,,176000,,,,,,,129,2.478715347994082e-12,2.8999351774629925,3348,1000.0,302200,128.73380193,128.7,255,10402,16,6166,0.0003,15.089097,2.8999351774629925,176,0.6799513,0.0033800893
,,180000,,,,,,,133,2.7050613497777204e-12,3.3848153819906535,3437,1000.0,310200,132.54786297,132.5,261,10701,16,6364,0.0003,14.862832,3.3848153819906535,180,0.642386,0.0032364463
155.14274954545454,24,180001,1000.0,3.1561927945863544,32.90367414845054,3.1932867,15.413003,141.8,,,,,,,,,,,,,,,,,,
,,184000,,,,,,,136,2.8096153192076932e-12,2.9256992521051646,3529,1000.0,318200,136.37266979,136.4,266,11027,16,6564,0.0003,15.076237,2.9256992521051646,184,0.6359937,0.0028902746
,,188000,,,,,,,139,2.5028184233671628e-12,3.1442308220466595,3620,1000.0,326200,140.16998175,140.2,272,11331,16,6765,0.0003,15.643682,3.1442308220466595,188,0.7014418,0.0037872267
157.00536281818182,23,190001,1000.0,2.630366522218772,33.10455256013058,2.6744847,15.053552,151.3,,,,,,,,,,,,,,,,,,
,,192000,,,,,,,143,2.4777578752468812e-12,2.9059876881267774,3711,1000.0,334200,143.78636411,143.8,278,11649,16,6958,0.0003,15.160938,2.9059876881267774,192,0.6283408,0.0028921803
,,196000,,,,,,,146,2.5977635587788913e-12,2.925569243760921,3801,1000.0,342200,147.24652015,147.2,284,11953,16,7161,0.0003,15.185839,2.925569243760921,196,0.64701754,0.0029543024
,,200000,,,,,,,149,2.6625361394310352e-12,2.979183502521416,3893,1000.0,350200,150.45669643999997,150.5,290,12253,16,7358,0.0003,15.021222,2.979183502521416,200,0.6410785,0.0030637458
155.88689227272727,22,200001,1000.0,2.5739707362226385,33.14004198275679,2.6171308,14.881797,154.5,,,,,,,,,,,,,,,,,,
,,204000,,,,,,,153,2.787718758350018e-12,2.8988275262077576,3984,1000.0,358200,151.32177862999998,151.3,296,12572,16,7551,0.0003,15.190767,2.8988275262077576,204,0.7369063,0.0033806777
,,208000,,,,,,,156,2.5335705485218666e-12,2.7835198274989725,4073,1000.0,366200,151.64210795,151.6,302,12867,16,7746,0.0003,15.276821,2.7835198274989725,208,0.56491023,0.0028034563
157.89003872727272,22,210001,1000.0,2.669740457475533,33.47279960389141,2.7096434,15.1449375,155.3,,,,,,,,,,,,,,,,,,
,,212000,,,,,,,160,2.520926315969461e-12,3.666049735591118,4163,1000.0,374200,151.82707778999998,151.8,308,13185,16,7939,0.0003,15.240007,3.666049735591118,212,0.5349791,0.0025610689
,,216000,,,,,,,163,2.5154989136403316e-12,3.132392379302062,4254,1000.0,382200,151.85577928,151.9,313,13488,16,8140,0.0003,15.054448,3.132392379302062,216,0.5792236,0.0030541504
