#{"t_start": 1651757441.9899776, "env_id": "Hopper-v3"}
r,l,t
7.400722,12,5.338264
16.166917,22,5.365138
12.185803,24,5.41048
12.189298,16,5.449464
15.395394,16,5.490684
13.470684,14,5.856564
16.601057,16,5.882271
14.550942,20,5.919567
27.991281,31,5.97754
43.430897,37,6.098392
12.902285,15,6.133965
9.825269,12,6.156116
20.329837,21,6.206052
20.874614,20,6.256507
13.071868,16,6.302216
18.280027,19,6.405472
9.524974,17,6.455149
12.812152,26,6.511175
10.850011,14,6.554261
11.909106,15,6.596078
11.236476,34,6.731475
25.840014,24,6.798538
11.667035,25,6.849298
18.681126,19,6.897736
7.954178,13,6.931093
18.168875,19,7.068582
10.081347,12,7.102129
12.087083,18,7.140749
10.005543,14,7.178007
11.672536,28,7.248229
8.346118,14,7.369725
37.626611,27,7.415635
12.52618,13,7.448947
21.422339,22,7.494103
11.68336,20,7.533247
15.687757,17,7.687709
8.046985,15,7.718003
16.170238,24,7.766373
8.476718,12,7.788483
15.431107,15,7.807418
12.771857,19,7.834423
19.672536,21,8.028944
15.10865,20,8.067482
23.90208,31,8.131981
7.286241,13,8.159312
28.42591,23,8.18851
11.716372,13,8.356405
18.020361,20,8.401052
8.79511,14,8.43049
12.164713,34,8.508707
13.757266,20,8.550598
11.334815,19,8.772834
21.788715,21,8.830649
44.82562,40,8.916403
6.099411,8,8.94591
29.71104,26,9.207969
112.513049,65,9.307926
8.951638,11,9.356993
18.917641,23,9.629426
11.201294,14,9.674399
19.509759,17,9.715287
21.343203,22,9.77199
17.982764,29,9.840775
59.36087,36,10.139431
34.217044,25,10.210658
21.28211,35,10.301454
11.670693,19,10.593471
9.800832,27,10.664286
6.341683,12,10.693017
11.42994,19,10.719246
8.494642,11,10.737172
11.625133,15,10.76806
30.262234,26,11.070817
58.968629,44,11.14095
10.476003,23,11.188887
12.783837,16,11.22532
10.361313,16,11.520648
17.140918,21,11.563923
7.463891,11,11.580449
21.260104,24,11.624454
11.843881,26,11.675867
7.785232,33,12.033069
15.812581,20,12.085101
14.08521,17,12.123834
19.295356,26,12.172115
18.036395,18,12.481461
1.725311,21,12.514109
7.114087,11,12.541391
21.080484,25,12.591571
25.199689,39,12.95078
10.965494,16,12.9773
16.289845,30,13.021172
18.71149,26,13.072142
8.712066,11,13.092262
16.305927,24,13.491225
7.505872,11,13.521754
8.610298,14,13.552146
10.878127,25,13.60216
12.380699,14,13.629815
39.358013,47,14.039921
11.317594,16,14.082148
9.445102,12,14.115914
8.400643,11,14.147131
8.174849,11,14.176574
6.922693,10,14.205783
27.926814,51,14.664813
11.49138,16,14.706328
10.619267,13,14.72614
9.864449,20,14.765366
25.047414,24,15.176092
26.763803,46,15.271109
8.672242,16,15.301266
10.918532,13,15.319819
28.376175,36,15.774233
9.693604,18,15.809311
17.485546,22,15.843999
12.566175,36,15.907832
12.302158,14,16.334622
15.361269,24,16.382689
13.144657,17,16.415744
9.24379,11,16.437706
12.235559,25,16.492446
18.395061,32,16.991264
6.736159,10,17.020232
10.98541,16,17.042763
10.316278,23,17.076143
10.053324,30,17.123926
11.298193,17,17.589175
111.075354,68,17.685707
12.307516,14,17.736458
5.782963,9,18.196973
10.327705,16,18.228037
29.917476,36,18.295478
13.194888,14,18.3328
10.724113,18,18.359771
9.882527,26,18.843136
26.520149,21,18.880543
22.578033,22,18.908821
9.286179,20,18.950927
75.939301,50,19.515277
10.286934,17,19.569196
6.055847,9,19.593407
22.051129,30,19.654681
14.511705,17,20.204693
11.266397,27,20.258564
26.923648,33,20.336895
26.004181,34,20.408686
89.387576,55,21.082459
9.899648,17,21.138356
14.761057,16,21.181181
39.652839,35,21.809882
7.041754,13,21.849509
43.441629,62,21.95293
14.735489,15,22.525743
20.609516,24,22.560756
12.578064,23,22.598108
24.415286,27,22.665905
7.601941,10,22.70064
18.936114,21,23.336523
13.098672,25,23.40075
8.698109,13,23.440834
44.766936,39,23.535136
