eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,,,100000,,,27.06090485,2.3061698158559662e-12,145,2450,100,0.0003,1000.0,1.58064810852049,21,1.58064810852049,1651,4601,68,27.1,150200,3.4825068,0.023796106,1.5258485
1000.0,1.2298416114051003,23,31.8,50.20532290909091,28.434213575269382,100001,3.435387,1.2318442,,,,,,,,,,,,,,,,,,
,,,,,,104000,,,29.07716324,2.2548431051575417e-12,151,2637,104,0.0003,1000.0,2.1939792146223707,21,2.1939792146223707,1740,4911,72,29.1,158200,4.1469083,0.01747819,1.3542501
,,,,,,108000,,,31.260042459999994,2.305712669010791e-12,157,2828,108,0.0003,1000.0,1.5864197019837243,20,1.5864197019837243,1827,5200,75,31.3,166200,3.623815,0.025994636,1.6994798
1000.0,0.8769618040751016,24,38.9,59.80749654545455,29.611265084861838,110001,3.9261963,1.002233,,,,,,,,,,,,,,,,,,
,,,,,,112000,,,33.02578792,2.1746896872097583e-12,162,3023,112,0.0003,1000.0,1.3650237536450092,20,1.3650237536450092,1916,5518,79,33.0,174200,3.2682016,0.021821644,1.7132621
,,,,,,116000,,,35.408603899999996,2.2905032092606535e-12,168,3216,116,0.0003,1000.0,3.5851559244607065,19,3.628509425246692,2005,5812,82,35.4,182200,6.5613623,0.024831455,1.7872038
,,,,,,120000,,,37.72681273,2.292284614036273e-12,174,3413,120,0.0003,1000.0,2.748151058440839,19,2.748151058440839,2092,6107,86,37.7,190200,7.697245,0.019674793,1.8308322
1000.0,0.8774914764462222,24,42.8,72.29912999999999,29.38705355175482,120001,5.1980863,0.8952065,,,,,,,,,,,,,,,,,,
,,,,,,124000,,,40.728870480000005,2.337310988293798e-12,179,3609,124,0.0003,1000.0,5.257409161977896,19,5.257409161977896,2183,6429,89,40.7,198200,6.625804,0.01899549,1.5778815
,,,,,,128000,,,42.873601980000004,2.0247600472047434e-12,185,3800,128,0.0003,1000.0,10.280864645449805,19,10.280864645449805,2269,6717,92,42.9,206200,11.454342,0.022703838,1.5553727
1000.0,2.7017582877441293,22,45.0,55.98964690909091,29.202846853751126,130001,5.4096413,2.7017756,,,,,,,,,,,,,,,,,,
,,,,,,132000,,,44.46722861999999,2.343001150574418e-12,191,3991,132,0.0003,1000.0,2.9822621788936234,18,2.9822621788936234,2356,7029,96,44.5,214200,8.5424385,0.017904436,1.31356
,,,,,,136000,,,45.881532609999994,2.510005721629857e-12,196,4181,136,0.0003,1000.0,1.8770779367050514,18,1.8770779367050514,2443,7316,99,45.9,222200,3.8743215,0.01786144,1.2209957
,,,,,,140000,,,46.96195723999999,2.410890039632807e-12,202,4380,140,0.0003,1000.0,1.6032589845963932,18,1.6032589845963932,2532,7615,102,47.0,230200,3.4997551,0.019885015,1.5315127
1000.0,2.1784696275328326,24,52.0,67.67575145454546,29.185133734808687,140001,6.0567164,2.185767,,,,,,,,,,,,,,,,,,
,,,,,,144000,,,49.073462459999995,2.3681565982079584e-12,208,4575,144,0.0003,1000.0,2.4677565032203965,18,2.4677565032203965,2621,7934,106,49.1,238200,4.325833,0.012181994,1.1025276
,,,,,,148000,,,51.5762174,2.451026860333987e-12,214,4775,148,0.0003,1000.0,3.173369300921888,17,3.173369300921888,2710,8234,109,51.6,246200,9.030203,0.01330882,0.9114904
1000.0,2.9755028242313,23,57.4,77.1958670909091,29.94152579719621,150001,7.730878,2.980803,,,,,,,,,,,,,,,,,,
,,,,,,152000,,,54.615847329999994,2.490454859913499e-12,220,4968,152,0.0003,1000.0,3.054538832513243,17,3.054538832513243,2797,8550,113,54.6,254200,9.101879,0.013629599,1.0894682
,,,,,,156000,,,57.425326350000006,2.281860868666019e-12,225,5163,156,0.0003,1000.0,2.86936604529251,17,2.86936604529251,2884,8842,116,57.4,262200,9.439785,0.011583635,1.0280092
,,,,,,160000,,,59.72494179,2.5360781861243708e-12,231,5362,160,0.0003,1000.0,2.7910314699758554,17,2.7910314699758554,2973,9142,120,59.7,270200,9.901361,0.009013435,0.93695825
1000.0,2.349521149088757,23,62.8,83.5726920909091,30.061131560553076,160001,7.7307386,2.3522663,,,,,,,,,,,,,,,,,,
,,,,,,164000,,,60.76996405,2.4383353673232102e-12,237,5555,164,0.0003,1000.0,1.7106039165390303,17,1.7106039165390303,3060,9458,124,60.8,278200,3.577528,0.011441751,0.97288305
,,,,,,168000,,,63.409170919999994,2.395993451955597e-12,243,5756,168,0.0003,1000.0,2.767296032008299,17,2.767296032008299,3150,9759,127,63.4,286200,10.66407,0.007808888,0.81350064
1000.0,2.005719154934442,24,67.1,96.91223427272729,30.205890284782765,170001,8.706559,2.0072823,,,,,,,,,,,,,,,,,,
,,,,,,172000,,,66.04342611,2.386282328067802e-12,249,5951,172,0.0003,1000.0,2.733635936183332,17,2.733635936183332,3238,10078,131,66.0,294200,10.87542,0.008823151,0.9425877
