eval_discount_q,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_qs,eval mean 100 episode reward,eval_time_elapsed,eval_abs_qs_difference,eval_eplenmean,discount_q,current_lr,n_updates,episodes,qs_abs_difference,eplenmean,fps,mean 100 episode reward,train_time,env_time,ep_rewmean,update_time,qs_difference,time_elapsed,qs_mean,act_time,q_grad_norm,qfs_loss
,,100000,,,,,,,2.498979397894359e-12,0.0003,150200,100,1.2631297856805859,1000.0,21,39.2,1651,144,39.17036185,2413,1.1946512036372596,4558,11.902502,67,1.6346234,0.020088857
31.035295912170707,5.174964663523955,100001,72.54190045454546,9.35666,51.7,23,5.1874466,1000.0,,,,,,,,,,,,,,,,,,
,,104000,,,,,,,2.5421376104360658e-12,0.0003,158200,104,1.436611735209178,1000.0,21,44.4,1742,150,44.394592300000006,2596,1.4264857360650438,4867,11.760776,71,1.3872344,0.016856195
,,108000,,,,,,,2.487548955215632e-12,0.0003,166200,108,3.0699989814398494,1000.0,20,49.9,1830,155,49.8709867,2787,3.0699989814398494,5157,12.549289,74,1.24562,0.014218832
31.784457543696327,1.9838625558282799,110001,135.55219072727274,12.392422,63.8,22,2.0502765,1000.0,,,,,,,,,,,,,,,,,,
,,112000,,,,,,,2.583449369841527e-12,0.0003,174200,112,2.098460424328459,1000.0,20,54.8,1922,161,54.77424808,2977,2.098460424328459,5472,11.982104,78,1.3372688,0.013648536
,,116000,,,,,,,2.668630779282725e-12,0.0003,182200,116,2.281410738786151,1000.0,20,59.7,2013,167,59.72129006000001,3174,2.281410738786151,5771,12.63184,81,1.3089881,0.012771089
,,120000,,,,,,,2.519685081427367e-12,0.0003,190200,120,2.9373622273316022,1000.0,19,64.5,2098,172,64.50228693999999,3366,2.9373622273316022,6058,12.670606,84,1.3620114,0.012045319
32.580586698920364,2.2102621022214892,120001,132.11221545454544,12.196006,74.1,23,2.2516637,1000.0,,,,,,,,,,,,,,,,,,
,,124000,,,,,,,2.5260526373599993e-12,0.0003,198200,124,2.53587756470595,1000.0,19,70.1,2190,178,70.06284636999999,3559,2.53587756470595,6377,12.242036,87,1.1750989,0.010570575
,,128000,,,,,,,2.53925465558375e-12,0.0003,206200,128,2.33352008054831,1000.0,19,74.5,2279,183,74.48364744,3752,2.33352008054831,6670,12.316802,91,1.2358708,0.011340096
