eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,88000,,,,,0.0003,1902,2.3293137413132764e-12,23,3738,88,5.6540520843060875,30.522715488636365,129,1000.0,30.5,1399,56,5.6540520843060875,126200,6.925475,0.018886603,1.3749543
3.746040715588745,1000.0,48.163323818181816,22,90001,28.24323418499444,5.766293,3.7460406,39.1,,,,,,,,,,,,,,,,,,
,,,,92000,,,,,0.0003,2075,2.198447550466302e-12,22,4033,92,3.9115687931913965,31.196596749999998,134,1000.0,31.2,1488,60,3.9115687931913965,134200,5.650587,0.020365026,1.4581898
,,,,96000,,,,,0.0003,2257,2.272862039808796e-12,22,4313,96,3.867074990948612,31.84937786458333,140,1000.0,31.8,1575,63,3.867074990948612,142200,5.7252493,0.0179498,1.2712823
,,,,100000,,,,,0.0003,2443,2.346655573908727e-12,21,4600,100,3.631126410716597,32.48152466,146,1000.0,32.5,1665,66,3.631126410716597,150200,5.5436087,0.019750481,1.2036458
3.3937519114269294,1000.0,47.92756490909091,22,100001,28.861746968175826,5.3291955,3.393752,41.9,,,,,,,,,,,,,,,,,,
,,,,104000,,,,,0.0003,2627,2.3232116528160757e-12,21,4904,104,3.6624724458233033,34.22796783,152,1000.0,34.2,1752,70,3.6624724458233033,158200,5.3584757,0.020167941,1.440647
,,,,108000,,,,,0.0003,2818,2.3072334842618796e-12,20,5194,108,3.6083727148638816,36.27190988,158,1000.0,36.3,1840,73,3.6083727148638816,166200,5.670539,0.020467995,1.2256826
3.514601723600907,1000.0,52.532995818181824,24,110001,29.019765828509478,5.8949447,3.5146017,44.8,,,,,,,,,,,,,,,,,,
,,,,112000,,,,,0.0003,3012,2.1595064942150558e-12,20,5513,112,4.111658662164586,37.773933850000006,163,1000.0,37.8,1930,76,4.111658662164586,174200,5.624824,0.021543676,1.144273
,,,,116000,,,,,0.0003,3204,2.3624892871843445e-12,19,5806,116,3.682349503930747,40.00159841999999,169,1000.0,40.0,2019,80,3.682349503930747,182200,6.1849146,0.02241209,1.5631993
