eval_eplenmean,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_abs_qs_difference,eval_qs,eval_qs_difference,fps,update_time,act_time,qs_difference,discount_q,mean 100 episode reward,ep_rewmean,eplenmean,train_time,env_time,episodes,current_lr,qs_mean,n_updates,time_elapsed,qs_abs_difference,qfs_loss,q_grad_norm
27.272727272727273,0,23.4,23.50451109090909,21.090779311549312,1,10.0202875,-0.39565918,-10.020287206433272,,,,,,,,,,,,,,,,,,
,,,,,9585,,,,102,73,1,-1.1368672887142368,2.729463589152192,17.7,17.68278544,21.73,0,13,436,0.0003,0.69627863,0,93,1.5224086180416418,,
,,,,,9660,,,,101,74,1,-3.006194466074516,7.312724519558704,17.8,17.756181460000004,21.74,0,13,440,0.0003,0.5546325,0,95,3.929019141588142,,
,,,,,9725,,,,100,76,1,-2.059223884113274,4.936192566157319,16.3,16.287203509999998,21.22,0,13,444,0.0003,0.6651852,0,97,2.188835104911611,,
,,,,,9808,,,,99,77,1,-1.7969407727128885,4.0869685093309345,16.5,16.54662062,21.37,0,13,448,0.0003,0.6560167,0,98,2.2130487048523637,,
,,,,,9863,,,,99,77,1,-4.057729683304402,6.036348085586035,16.6,16.64528305,21.22,0,13,452,0.0003,0.7009954,0,98,4.057729683304402,,
,,,,,9950,,,,98,79,1,-6.322894927269699,7.406069783391577,16.7,16.699201919999997,21.35,0,14,456,0.0003,0.63179964,0,100,6.336788422656154,,
27.09090909090909,0,24.0,24.28720609090909,21.71900652616022,10001,10.608311,-0.3942563,-10.608310378924655,,,,,,,,,,,,,,,,,,
,,,,,10022,,,,97,81,1,-8.369798299282433,11.34058870740738,16.7,16.652171679999995,21.18,0,14,460,0.0003,0.75678843,0,103,8.369798299282433,,
,,,,,10144,,,,96,82,1,-16.525121238715766,15.13735727890092,16.8,16.76577678,21.57,0,14,464,0.0003,0.62477714,0,105,16.525121238715766,,
,,,,,10260,,,,95,84,1,-8.07473906382975,6.814443727395319,17.6,17.58226447,21.88,0,14,468,0.0003,0.6432023,0,107,8.110506522642998,,
,,,,,10333,,,,94,86,1,-11.009501019660288,13.92001112041233,17.4,17.444000600000003,21.78,0,14,472,0.0003,0.6394128,0,109,11.009501019660288,,
,,,,,10391,,,,95,86,1,-9.895775515317792,13.889414802948133,17.0,17.047192029999998,21.44,0,14,476,0.0003,0.5795696,0,109,9.900376849599281,,
,,,,,10475,,,,94,88,1,-13.053335445456481,14.905753515240578,17.0,16.99945093,21.45,0,15,480,0.0003,0.5987029,0,111,13.053335445456481,,
,,,,,10537,,,,93,89,1,-3.4515445186010045,4.83773142812199,16.9,16.93984305,21.49,0,15,484,0.0003,0.7824938,0,112,3.4560077041338246,,
,,,,,10626,,,,92,91,1,-8.03711413296105,8.495307696244414,17.1,17.059992879999996,21.37,0,15,488,0.0003,0.6031945,0,114,8.046670658475708,,
,,,,,10758,,,,91,93,1,-7.104746336774594,5.180436877044186,17.5,17.466338349999997,21.89,0,15,492,0.0003,0.6278764,0,117,7.131153784254794,,
,,,,,10843,,,,91,95,1,-4.348252780573564,5.201420969546468,17.8,17.82042171,22.13,0,15,496,0.0003,0.7148512,0,119,4.377162404659753,,
,,,,,10927,,,,90,96,1,-8.714888403862886,9.490524276324505,17.3,17.26307542,21.92,0,15,500,0.0003,0.63561124,0,120,8.714888403862886,,
,,,,,10991,,,,90,96,1,-4.5000117656147784,6.2264291585345255,17.1,17.145074110000003,21.7,0,15,504,0.0003,0.73325455,0,121,4.502544314454413,,
,,,,,11098,,,,90,98,1,-4.2806434859022175,4.1023100452590215,17.4,17.38199084,21.95,0,15,508,0.0003,0.6073721,0,123,4.315888045426297,,
,,,,,11159,,,,89,100,1,-1.9215982299331058,3.3291267985290904,17.1,17.103959470000003,21.67,0,16,512,0.0003,0.7607452,0,125,1.9697410498343808,,
,,,,,11235,,,,88,102,1,-2.2405541639683824,4.613229325100439,16.7,16.69137706,21.15,0,16,516,0.0003,0.7400481,0,127,2.65472568814712,,
,,,,,11303,,,,87,104,1,-2.1691966267214564,4.308507513696808,16.6,16.617286410000002,20.98,0,16,520,0.0003,0.7606192,0,129,2.5186846604041526,,
,,,,,11368,,,,87,104,1,-4.880109027773559,6.431426034465662,16.5,16.52138428,20.79,0,16,524,0.0003,0.6829805,0,129,4.880109027773559,,
,,,,,11434,,,,87,106,1,-3.2331822632463116,4.386601546848173,15.5,15.547644200000002,20.15,0,16,528,0.0003,0.6954606,0,131,3.2505835850161446,,
,,,,,11517,,,,86,108,1,-4.618368709473497,5.9357553910431555,15.5,15.480431760000002,20.2,0,16,532,0.0003,0.72771126,0,133,4.643226315743898,,
,,,,,11599,,,,86,108,1,-1.6356800056620011,4.709118245930822,15.4,15.418600390000003,20.14,0,16,536,0.0003,0.7239048,0,133,2.6345729489862495,,
,,,,,11707,,,,84,111,1,-3.63571998618928,3.3750444334446614,16.2,16.201191069999997,20.47,0,16,540,0.0003,0.7250089,0,137,3.666563107730181,,
,,,,,11778,,,,85,111,1,-8.478265880306289,11.14975844290522,16.2,16.16407338,20.53,0,17,544,0.0003,0.58947766,0,137,8.478265880306289,,
,,,,,11867,,,,84,113,1,-9.747247579277431,11.114601583067525,16.2,16.231499210000003,20.59,0,17,548,0.0003,0.64256215,0,140,9.787276583876892,,
,,,,,11960,,,,84,115,1,-9.984714555994715,11.294198713496542,16.5,16.490391180000003,20.97,0,17,552,0.0003,0.61976475,0,142,9.984714555994715,,
,,,,,12026,,,,83,117,1,-3.207714034868329,5.264083599146744,16.2,16.21931827,20.76,0,17,556,0.0003,0.70228356,0,144,3.329720899374134,,
,,,,,12128,,,,82,119,1,-6.516451231705538,5.898152580148544,16.7,16.725163769999998,21.06,0,17,560,0.0003,0.67063236,0,146,6.523217637682115,,
,,,,,12240,,,,82,121,1,-20.847363311578306,20.383841930907906,16.7,16.725201889999997,20.96,0,17,564,0.0003,0.66797525,0,148,20.847363311578306,,
