#{"t_start": 1651737968.155415, "env_id": "Hopper-v3"}
r,l,t
29.682294,31,5.213134
13.138256,19,5.266035
7.599012,11,5.30188
16.646737,27,5.36448
21.156378,18,5.730427
11.374972,27,5.780112
13.511384,23,5.837132
23.928447,26,5.902376
10.956517,26,5.98885
14.120297,15,6.024427
10.398355,12,6.05706
9.342063,14,6.090172
7.809401,12,6.125009
14.525672,24,6.166163
19.059559,20,6.255651
9.230211,11,6.286275
16.81167,21,6.321364
38.765695,61,6.455781
11.662336,15,6.579687
12.02113,29,6.633027
8.114307,15,6.677742
17.559004,19,6.711258
12.104496,15,6.733905
11.243192,32,6.861192
12.660323,16,6.888462
16.581083,27,6.943791
153.746081,112,7.299109
11.912392,23,7.47476
10.431487,15,7.502042
7.900381,15,7.522947
7.556629,14,7.54192
15.331617,19,7.566161
9.336544,13,7.5845
9.370016,19,7.613093
12.098039,15,7.79038
9.93321,16,7.824166
12.862169,15,7.851455
42.603577,65,8.151585
8.522668,17,8.212686
57.420896,41,8.284674
21.357704,26,8.327962
9.560897,13,8.52312
5.189764,19,8.575618
17.586809,20,8.631855
9.915963,18,8.68051
5.315691,10,8.708805
8.401686,11,8.730884
9.535678,24,8.952218
8.089327,14,8.984846
12.568614,14,9.015439
28.557087,26,9.050258
8.166511,12,9.07038
13.455679,18,9.11401
11.934571,14,9.35186
13.923777,21,9.405825
10.514734,19,9.456884
8.27943,12,9.483972
72.55729,41,9.531177
29.48867,31,9.803819
6.459155,19,9.843249
15.939896,18,9.86883
15.986482,16,9.889511
10.394971,12,9.905202
17.565967,26,10.147861
7.5868,14,10.183105
11.683302,23,10.226141
10.047549,14,10.267795
7.608342,11,10.294549
8.910358,11,10.323083
15.989782,30,10.656986
8.359206,11,10.688639
23.596512,29,10.762051
7.040763,10,10.7961
13.642299,17,10.836843
10.595442,12,11.137486
26.263712,28,11.188128
8.541082,14,11.22212
14.578345,21,11.256377
32.128847,28,11.318605
35.976208,28,11.686062
13.48079,18,11.721709
21.266642,22,11.758919
10.470959,17,11.812052
13.82211,31,12.188676
8.033238,11,12.232516
15.379311,20,12.290216
30.031572,27,12.354713
18.933207,18,12.387175
14.76337,15,12.40869
9.318486,17,12.755708
11.38682,17,12.795341
17.298252,17,12.825411
20.2907,25,12.859601
7.300485,12,12.883864
21.153316,34,13.2724
17.146941,17,13.299944
10.136644,14,13.319177
11.839808,14,13.336806
20.026312,29,13.369712
34.320076,31,13.76676
9.713096,13,13.811263
9.08315,13,13.847323
43.384602,34,13.899644
9.548387,14,13.932461
14.444196,17,14.358908
9.954286,30,14.401533
12.875078,22,14.430687
15.91464,25,14.491888
17.113489,18,14.933419
16.033121,37,15.018301
11.052757,16,15.061447
9.517135,20,15.115931
11.135502,16,15.575896
15.250579,17,15.610486
14.597367,19,15.636339
14.868787,29,15.670424
13.949746,17,15.694197
13.471567,13,15.711306
13.25159,18,16.165076
13.549925,15,16.197778
19.068313,23,16.253697
24.256951,27,16.306877
13.748209,17,16.333268
18.075198,20,16.785537
8.155394,26,16.84847
12.195344,17,16.876566
8.670989,15,16.911962
10.205431,14,16.954784
8.413674,12,16.99064
15.961447,20,17.502296
14.527194,16,17.528173
34.594256,39,17.578244
8.41258,12,17.617207
30.664346,38,18.155478
24.749479,40,18.244714
6.299878,9,18.282836
14.295672,20,18.336133
32.611178,29,18.909875
31.565983,27,18.981785
10.173961,27,19.043378
14.373417,25,19.608663
15.05401,20,19.667675
22.745184,29,19.742327
76.698186,53,20.407843
19.024787,24,20.470127
39.88804,30,20.54359
13.453892,32,20.629485
9.989307,13,21.22191
8.125902,11,21.256301
11.07559,18,21.301534
21.47379,21,21.338682
27.336906,24,21.394259
14.23065,15,21.439959
187.587022,117,22.761964
8.321797,16,22.819905
11.777231,17,22.854275
11.909019,15,22.886736
8.365026,16,22.915891
7.463235,10,22.947963
7.440231,9,22.974745
7.220388,9,23.598205
9.802884,16,23.641075
10.108358,13,23.669566
13.774722,23,23.73036
10.471772,18,23.771308
11.089646,25,23.833275
15.823409,23,24.508863
6.398711,10,24.534165
7.096847,10,24.550311
15.415698,17,24.582297
12.030716,20,24.635541
17.650601,16,24.667434
93.851658,63,25.39548
14.748034,19,25.435277
27.271742,24,25.490157
11.125654,14,26.181872
15.082668,17,26.227901
9.04309,11,26.255228
9.257222,18,26.295181
7.318149,9,26.316013
10.184902,22,26.358982
47.477164,43,27.119006
13.290532,20,27.156508
7.230084,11,27.172589
9.723664,15,27.199813
11.253703,16,27.243926
13.810672,16,27.947475
44.868621,48,28.044371
74.602702,51,28.849654
10.062695,25,28.907823
8.930561,13,28.938219
12.288139,14,28.970291
29.813822,29,29.038276
17.152807,17,29.790281
8.296638,12,29.827616
12.864423,18,29.873414
3.910963,9,29.900699
14.037483,23,29.960073
28.299451,41,30.775201
9.298064,17,30.82643
11.057673,17,30.874191
11.539336,13,30.915564
12.210813,16,30.96115
13.376932,16,31.007437
16.48433,16,31.79451
14.385821,26,31.854641
32.027369,29,31.929188
13.20796,15,31.965958
20.111341,21,32.022837
12.627051,14,32.839704
10.863661,18,32.87382
14.674445,22,32.903594
13.625474,23,32.933795
8.769945,13,32.961023
17.709945,18,33.775321
12.403174,17,33.811317
91.608646,62,33.920857
6.534193,10,33.954182
12.058624,13,34.753103
8.52775,12,34.779451
50.324451,42,34.880367
12.672672,16,34.932509
19.743395,28,35.810384
8.447385,12,35.841484
10.355279,13,35.87794
8.377642,12,35.910856
18.820382,19,35.955354
10.228608,15,35.989793
10.980065,14,36.023647
15.318593,18,36.91256
7.931573,10,36.938667
9.892265,17,36.96293
16.272262,17,36.992458
8.178706,11,37.025814
5.729721,13,37.062262
